step,t_zone,co2,p_cool,p_fan,a0_raw,a1_raw,t_setpoint,fan_signal,t_zone_next,p_total,reward
0,17.2551,400.0,0.0,0.0,-0.76592,0.90487,21.468,0.9524,17.4935,149.51,-2.81118
1,17.4935,400.0,0.0,149.51,1.0,-0.10741,25.0,0.4463,17.0253,15.38,-3.18034
2,17.0253,400.0,0.0,15.38,0.60165,0.07512,24.203,0.5376,16.9064,26.88,-3.27592
3,16.9064,400.0,0.0,26.88,0.87365,-0.71675,24.747,0.1416,16.0502,0.56,-3.95989
4,16.0502,400.0,0.0,0.56,0.78947,0.34333,24.579,0.6717,16.7047,52.43,-3.43836
5,16.7047,400.0,0.0,52.43,-0.37251,0.24765,22.255,0.6238,16.7134,42.01,-3.43099
6,16.7134,400.0,0.0,42.01,-0.78087,-0.80445,21.438,0.0978,15.4932,0.22,-4.40544
7,15.4932,400.0,0.0,0.22,-0.22172,0.2464,22.557,0.6232,17.645,41.88,-2.68567
8,17.645,603.91,0.0,41.88,0.18088,-0.11636,23.362,0.4418,18.079,21.38,-2.33769
9,18.079,730.5,6.46,14.92,0.60834,-0.45725,24.217,0.2714,19.892,98.41,-0.89031
10,19.892,807.42,94.95,3.46,-0.79872,0.1657,21.403,0.5829,20.7932,335.36,-0.17885
11,20.7932,854.16,301.1,34.26,0.74204,-1.0,24.484,0.0,25.3099,0.0,-0.24788
12,25.3099,882.63,0.0,0.0,-0.65347,0.48313,21.693,0.7416,22.1296,636.93,-0.02548
13,22.1296,899.8,566.36,70.57,-0.9483,-0.91274,21.103,0.0436,26.8782,71.67,-1.50539
14,26.8782,910.29,71.63,0.04,-0.47775,0.90976,22.045,0.9549,21.7633,815.24,-0.03261
15,21.7633,916.66,664.58,150.66,0.75076,-0.49552,24.502,0.2522,23.3949,254.44,-0.01018
16,23.3949,920.53,251.66,2.78,0.01293,-0.5565,23.026,0.2218,22.8772,201.9,-0.00808
17,22.8772,922.89,199.99,1.91,-1.0,0.53559,21.0,0.7678,19.9713,358.01,-0.8373
18,19.9713,718.84,279.68,78.32,-0.87019,0.69042,21.26,0.8452,19.4286,327.56,-1.27019
19,19.4286,593.73,223.07,104.49,-1.0,0.54348,21.0,0.7717,19.1243,239.78,-1.51019
20,19.1243,517.71,160.24,79.54,0.38273,-0.94502,23.765,0.0275,19.703,8.64,-1.03794
21,19.703,471.52,8.63,0.01,0.64688,-0.76847,24.294,0.1158,18.9142,19.89,-1.66946
22,18.9142,443.46,19.55,0.34,-0.60106,0.53982,21.798,0.7699,18.0053,79.74,-2.39898
23,18.0053,426.4,0.77,78.97,-0.88192,-0.45855,21.236,0.2707,17.4947,3.44,-2.80437
24,17.4947,416.04,0.0,3.44,-0.41462,-0.06379,22.171,0.4681,17.125,17.75,-3.1007
25,17.125,409.75,0.0,17.75,-0.99293,-0.94639,21.014,0.0268,15.8518,0.01,-4.11858
26,15.8518,405.92,0.0,0.01,0.07436,0.20155,23.149,0.6008,16.4549,37.52,-3.63759
27,16.4549,403.6,0.0,37.52,-0.33778,-0.96535,22.324,0.0173,15.0,0.01,-5.19274
28,15.0,402.19,0.0,0.01,0.95549,-0.70857,24.911,0.1457,15.0,0.6,-5.25106
29,15.0,401.33,0.0,0.6,0.03071,0.60737,23.061,0.8037,15.7949,89.83,-4.16771
30,15.7949,400.81,0.0,89.83,0.75184,-0.93873,24.504,0.0306,15.0,0.02,-6.55421
31,15.0,400.49,0.0,0.02,-0.30469,0.26096,22.391,0.6305,15.7802,43.37,-4.17759
32,15.7802,605.78,0.0,43.37,1.0,-0.43211,25.0,0.2839,15.0,3.96,-4.95976
33,15.0,731.64,0.0,3.96,-0.39822,0.43539,22.204,0.7177,15.8655,63.97,-4.11014
34,15.8655,808.11,0.0,63.97,-0.88137,-0.82706,21.237,0.0865,15.0,0.17,-6.08684
35,15.0,854.58,0.0,0.17,-0.02645,0.66967,22.947,0.8348,15.734,100.68,-4.21686
36,15.734,882.81,0.0,100.68,0.93634,0.61397,24.873,0.807,15.6156,90.94,-4.31113
