step,t_zone,t_zone_next,p_total,a0_raw,a1_raw,t_amb,q_internal,t_zone_true,t_next_true,p_true,latency_steps,sensor_bias
0,18.5384,18.5384,765.62,0.3049,0.66978,1.88,65.01,18.0,31.0487,765.88,1,0.5
1,31.4538,31.6889,353.47,-0.2934,0.41272,2.441,67.59,31.0487,27.1015,350.88,1,0.5
2,27.3437,27.9683,292.58,-0.31849,0.23191,2.123,67.57,27.1015,22.8902,295.11,1,0.5
3,23.3439,24.0327,146.66,-0.69142,0.3661,3.944,60.65,22.8902,16.9617,148.17,1,0.5
4,17.3398,17.2144,88.19,-0.74016,-0.04859,2.559,62.32,16.9617,11.6641,86.9,1,0.5
5,12.3592,12.4255,981.2,0.51167,0.82187,6.629,36.69,11.6641,31.9344,968.05,1,0.5
6,32.5014,32.2933,245.69,-0.44572,0.26803,5.203,55.78,31.9344,25.2616,247.05,1,0.5
7,25.5699,25.8104,616.61,0.13047,0.53,9.485,32.68,25.2616,33.6649,607.96,1,0.5
8,34.3408,33.7822,120.99,-0.57083,-0.18294,7.38,43.03,33.6649,23.0434,123.26,1,0.5
9,23.2034,23.7311,306.78,-0.34273,0.31585,6.491,52.85,23.0434,22.7091,304.0,1,0.5
10,23.1163,23.0682,473.61,0.44472,-0.07625,3.014,42.74,22.7091,25.8328,469.1,1,0.5
11,26.3366,25.8266,260.12,-0.39698,0.26057,6.34,63.31,25.8328,23.1942,267.19,1,0.5
12,23.2601,23.5874,326.61,-0.33782,0.42992,2.008,58.0,23.1942,21.739,332.83,1,0.5
13,22.4603,22.3693,306.97,-0.21597,0.12727,4.384,31.0,21.739,21.0551,310.66,1,0.5
14,21.6264,22.0356,324.28,-0.27673,0.30219,0.662,51.44,21.0551,19.8301,331.05,1,0.5
15,20.2583,20.7691,66.17,-0.34028,-0.71095,5.538,54.4,19.8301,13.9763,67.03,1,0.5
16,14.1196,14.035,19.06,0.18183,-0.95439,2.22,42.2,13.9763,10.0,18.95,1,0.5
17,10.1953,9.8604,741.61,0.87565,0.14346,7.514,89.93,10.0,26.308,753.87,1,0.5
18,26.8883,26.7604,1006.26,0.65258,0.79232,3.754,37.76,26.308,40.0,1041.13,1,0.5
19,40.1893,40.3502,343.68,-0.28697,0.39827,3.541,48.92,40.0,32.5711,350.45,1,0.5
20,32.7156,33.3506,332.26,-0.21615,0.20971,2.824,92.57,32.5711,27.7577,333.3,1,0.5
21,28.3732,27.8744,28.34,-0.91018,-0.12981,4.878,36.9,27.7577,15.8579,27.47,1,0.5
22,16.4097,16.2346,1053.21,0.6306,0.82194,5.48,47.63,15.8579,37.3573,1044.25,1,0.5
23,38.1892,38.3744,287.81,-0.43682,0.46509,9.607,53.66,37.3573,31.6243,290.03,1,0.5
24,32.0704,32.1227,1069.41,0.55481,0.94365,9.384,27.86,31.6243,40.0,1062.24,1,0.5
25,40.451,40.247,221.38,-0.50502,0.29513,9.222,51.81,40.0,30.6578,225.33,1,0.5
26,30.7921,31.0595,312.63,-0.29694,0.25158,3.998,68.32,30.6578,26.1708,309.3,1,0.5
27,26.9717,26.7238,315.98,-0.32239,0.32425,9.012,46.91,26.1708,25.8462,315.41,1,0.5
28,26.0209,25.9072,276.4,-0.38532,0.27126,5.685,100.35,25.8462,23.4445,274.67,1,0.5
29,23.7673,23.6258,215.13,-0.51473,0.28373,8.618,35.42,23.4445,21.3592,218.97,1,0.5
30,21.7004,21.5302,87.26,-0.50432,-0.52668,4.717,14.85,21.3592,14.3321,82.47,1,0.5
31,15.3832,14.7585,362.95,0.64933,-0.37933,1.485,42.64,14.3321,17.0482,359.83,1,0.5
32,17.7814,17.6178,1.66,-0.9577,-0.88921,3.872,47.32,17.0482,10.0,1.65,1,0.5
33,10.3334,10.2835,619.49,0.00905,0.75001,8.038,53.11,10.0,23.1567,620.7,1,0.5
34,23.7516,23.735,26.49,-0.90149,-0.25277,11.28,81.47,23.1567,17.7541,25.87,1,0.5
35,17.9204,17.921,1076.25,0.68715,0.80531,5.788,59.6,17.7541,39.8593,1070.61,1,0.5
36,40.2178,40.8007,385.74,0.07214,0.02845,5.157,44.16,39.8593,34.4774,387.58,1,0.5
37,34.2074,35.4956,284.95,-0.04425,-0.16622,5.53,55.92,34.4774,27.8924,280.11,1,0.5
38,27.9323,28.5672,342.93,-0.33345,0.43,4.014,48.77,27.8924,25.274,335.04,1,0.5
39,26.2937,25.794,356.46,-0.2172,0.27034,6.317,84.88,25.274,25.499,349.54,1,0.5
40,25.7898,26.2243,357.34,-0.29296,0.41712,1.465,65.65,25.499,23.5026,352.19,1,0.5
41,24.5488,24.1939,323.91,-0.35183,0.45112,0.284,48.66,23.5026,21.0263,330.61,1,0.5
42,21.3166,21.8729,141.59,0.23233,-0.65742,5.098,25.67,21.0263,16.3375,148.39,1,0.5
43,17.0201,16.6602,901.36,0.66162,0.59368,5.913,51.44,16.3375,34.9258,930.8,1,0.5
44,35.6031,35.7464,734.19,0.54864,0.34246,9.428,57.37,34.9258,40.0,730.77,1,0.5
45,40.5699,40.7999,32.67,-0.68478,-0.70443,5.811,32.73,40.0,21.9256,32.75,1,0.5
46,22.1081,22.4291,356.49,-0.27977,0.38444,9.444,35.13,21.9256,24.4798,350.49,1,0.5
47,25.3785,25.4611,263.2,-0.32052,0.09965,7.525,61.08,24.4798,22.8515,262.64,1,0.5
48,23.2142,23.4834,286.74,-0.0829,-0.11537,8.929,17.95,22.8515,22.8618,285.17,1,0.5
49,23.5191,23.5724,313.54,-0.34718,0.34594,0.762,3.8,22.8618,19.8092,308.85,1,0.5
50,20.3506,20.5553,157.83,-0.71396,0.55354,5.688,60.6,19.8092,16.5516,156.2,1,0.5
51,16.9335,16.607,673.54,0.21185,0.60296,4.202,47.65,16.5516,28.1487,682.81,1,0.5
52,27.9486,28.628,408.14,-0.19108,0.43277,7.248,44.3,28.1487,28.9642,407.39,1,0.5
53,29.8703,29.7053,264.08,-0.38881,0.2642,2.488,38.11,28.9642,23.063,271.59,1,0.5
54,24.0793,23.8415,872.66,0.76829,0.41916,6.178,29.19,23.063,38.9497,882.08,1,0.5
55,39.2682,39.5582,316.9,-0.31892,0.33287,1.791,36.91,38.9497,29.9515,319.09,1,0.5
56,30.8477,30.4121,396.63,-0.18854,0.33834,0.569,71.34,29.9515,26.7601,381.73,1,0.5
57,27.3647,27.36,184.47,-0.39059,-0.14419,11.231,51.39,26.7601,23.4751,183.32,1,0.5
58,23.9673,23.8871,265.06,-0.41174,0.25413,2.5,18.21,23.4751,19.5334,259.32,1,0.5
59,20.6146,20.2191,960.66,0.47156,0.81853,2.114,56.95,19.5334,37.2466,940.64,1,0.5
60,37.6448,37.774,530.5,0.02548,0.47341,1.574,50.13,37.2466,36.7923,531.1,1,0.5
61,37.4665,37.476,594.41,0.67476,-0.01172,4.489,34.41,36.7923,39.1492,581.78,1,0.5
62,39.8489,39.0998,73.31,-0.65401,-0.37221,6.1,44.28,39.1492,23.3607,76.35,1,0.5
63,23.76,22.9713,105.99,0.20168,-0.76065,0.515,77.28,23.3607,14.1245,101.1,1,0.5
64,14.4614,14.6543,849.47,0.3439,0.77027,6.305,38.81,14.1245,30.7107,836.24,1,0.5
65,31.1849,30.9197,1194.14,0.67261,0.97827,6.034,63.37,30.7107,40.0,1163.07,1,0.5
66,40.2337,40.5775,84.4,-0.8399,0.51066,4.426,78.08,40.0,23.459,85.01,1,0.5
67,24.4284,23.7974,91.04,-0.5343,-0.41588,2.177,41.03,23.459,14.5704,95.62,1,0.5
68,15.4147,14.9944,959.0,0.52477,0.78208,2.64,16.27,14.5704,33.2428,955.11,1,0.5
69,33.695,33.8317,571.98,0.68896,-0.03485,1.974,64.14,33.2428,35.8812,572.98,1,0.5
70,36.9918,36.36,245.27,-0.42445,0.21112,4.079,34.93,35.8812,26.5977,245.02,1,0.5
71,27.198,27.2622,31.43,-0.95035,0.85492,2.703,68.0,26.5977,14.5518,32.37,1,0.5
72,15.1082,15.4527,878.92,0.51898,0.65452,4.796,55.24,14.5518,32.0737,883.39,1,0.5
73,32.9481,32.788,274.55,-0.32938,0.19279,6.09,1.8,32.0737,26.3976,281.17,1,0.5
