step,t_zone,t_amb,hour,day,a0_raw,a1_raw,t_zone_next,delta_t,p_total,policy,season
0,17.2551,0.0,1.0,0.04,0.28472,0.84906,24.359,7.1039,136.75,random,winter
1,24.359,0.0,2.0,0.08,-0.62062,-0.6635,17.871,-6.488,0.88,random,winter
2,17.871,0.0,3.0,0.12,-0.09308,-0.55477,19.1302,1.2592,1.93,random,winter
3,19.1302,0.0,4.0,0.17,-0.71294,-0.7061,17.0022,-2.1279,0.61,random,winter
4,17.0022,0.0,5.0,0.21,0.22164,-0.31437,20.7302,3.728,6.97,random,winter
5,20.7302,0.0,6.0,0.25,-0.25608,-0.2907,19.4543,-1.276,7.72,random,winter
6,19.4543,3.3,7.0,0.29,-0.34851,0.21911,20.0691,0.6148,39.19,random,winter
7,20.0691,2.2,8.0,0.33,0.2982,0.54675,24.4437,4.3746,80.04,random,winter
8,24.4437,3.3,9.0,0.38,0.64529,0.69576,26.9052,2.4615,105.48,random,winter
9,26.9052,7.2,10.0,0.42,-0.94208,0.9742,20.0041,-6.9011,442.4,random,winter
10,20.0041,7.8,11.0,0.46,0.91003,-0.22005,29.0213,9.0173,10.26,random,winter
11,29.0213,8.9,12.0,0.5,-0.7829,0.88405,22.8223,-6.199,663.33,random,winter
12,22.8223,9.4,13.0,0.54,0.56558,0.97171,30.3082,7.4858,165.8,random,winter
13,30.3082,10.6,14.0,0.58,-0.80113,0.79456,23.7945,-6.5137,806.03,random,winter
14,23.7945,10.0,15.0,0.62,0.24272,0.19972,28.8029,5.0085,63.96,random,winter
15,28.8029,9.4,16.0,0.67,-0.6122,0.76882,23.8895,-4.9135,543.83,random,winter
16,23.8895,6.7,17.0,0.71,0.94089,-0.87369,27.29,3.4005,0.08,random,winter
17,27.29,5.6,18.0,0.75,0.14144,-0.82457,24.8336,-2.4564,0.18,random,winter
18,24.8336,2.8,19.0,0.79,0.94646,-0.78215,25.2735,0.4399,0.29,random,winter
19,25.2735,2.2,20.0,0.83,-0.47392,0.5721,22.6494,-2.6242,109.82,random,winter
20,22.6494,1.7,21.0,0.88,-0.27882,-0.91561,22.2587,-0.3907,0.04,random,winter
21,22.2587,0.6,22.0,0.92,0.206,0.90717,25.5949,3.3363,150.05,random,winter
22,25.5949,0.0,23.0,0.96,-0.88472,0.45602,19.7218,-5.8731,166.56,random,winter
23,19.7218,-4.4,0.0,1.0,-0.32676,0.721,21.9928,2.2709,110.26,random,winter
24,21.9928,-5.6,1.0,1.04,-0.73962,-0.79033,19.1381,-2.8546,0.27,random,winter
25,19.1381,-7.2,2.0,1.08,0.40512,-0.28662,22.487,3.3488,7.85,random,winter
26,22.487,-8.9,3.0,1.12,-0.64747,-0.70682,18.2738,-4.2132,0.61,random,winter
27,18.2738,-9.4,4.0,1.17,0.24013,0.58481,23.5536,5.2798,86.1,random,winter
28,23.5536,-10.6,5.0,1.21,-0.89011,-0.3088,17.3517,-6.202,7.14,random,winter
29,17.3517,-11.7,6.0,1.25,-0.16166,-0.37839,18.798,1.4464,5.2,random,winter
30,18.798,-12.2,7.0,1.29,-0.74574,-0.25612,16.9768,-1.8212,8.9,random,winter
31,16.9768,-12.2,8.0,1.33,0.5743,0.34008,24.1586,7.1818,52.05,random,winter
