i viol energy ms vn en mn
0 5.4315476190476195 403.3239507360215 0.1377251298929653 0.41011235955056186 0.9455530600398703 0.6740470810571803
1 2.5297619047619047 396.9406736664186 0.05845043380000312 0.19101123595505617 0.9238727708104878 0.2860650363520219
2 3.7202380952380953 319.63884587169974 0.08174903528776784 0.2808988764044944 0.6613233050305732 0.4000918253465003
3 0.5208333333333333 250.47413229452826 0.024591864967874244 0.03932584269662921 0.42641089586050457 0.1203562110431862
4 0.0 173.123643163835 0.0 0.0 0.1636961557510082 0.0
5 0.2976190476190476 137.3156285411901 0.01692809379460143 0.02247191011235955 0.04207710251489478 0.0828485855775263
6 2.232142857142857 124.92696523522973 0.08401457745445723 0.16853932584269665 0.0 0.41117972256362934
7 2.306547619047619 133.95891323156283 0.0829793858362515 0.17415730337078653 0.030676287858114937 0.4061133422368966
8 8.258928571428571 167.25633388695857 0.16083011156612093 0.6235955056179775 0.14376830979760782 0.7871262661468847
9 11.681547619047619 192.75964639607602 0.19669565184463117 0.8820224719101124 0.230388267771544 0.9626575054643317
10 13.244047619047619 264.13929947951516 0.204325682527927 1.0 0.47282354154514705 1.0
11 8.258928571428571 419.35463647459187 0.14114722684077546 0.6235955056179775 1.0 0.6907953278045879
