i prac neu pn nn
0 0.12360986705442974 0.1139887114756141 0.6095449868810192 0.5510964305234479
1 0.18788225737257994 0.1429296685491915 1.0 0.726912853685921
2 0.1060199678013851 0.08930669959927848 0.5026862827063032 0.40115311546587856
3 0.17118811629765945 0.1356166792535764 0.8985830301292302 0.6824864161872675
4 0.09086232022938635 0.098246902826779 0.4106035166495017 0.4554648837259475
5 0.07459158438105855 0.05724514192288357 0.3117587351240781 0.20637903189462317
6 0.07614164849140431 0.05703165022061426 0.3211753804292303 0.20508206899970474
7 0.08928204845331825 0.09031684778990988 0.4010033596613775 0.40728976952639706
8 0.02327330587074613 0.03344964480692448 0.0 0.0618212973433889
9 0.05752840596131094 0.09861016375285934 0.20809986199434116 0.45767169521928425
10 0.12086214461942327 0.13212272287987312 0.5928525627452889 0.661260618064956
11 0.18123893680618353 0.1538037907148881 0.9596418025521388 0.7929731867752514
