epoch czon
1 4.201938125
2 4.203865625
3 4.205794375
4 4.2077065625
5 4.2096265625
6 4.21147
7 4.21331875
8 4.215105
9 4.216913125
10 4.2186775
11 4.2204140625
12 4.222185
13 4.223958125
14 4.2257121875
15 4.22750375
16 4.229304375
17 4.2310896875
18 4.23283
19 4.2345334375
20 4.236291875
21 4.2380725
22 4.239870625
23 4.2416878125
24 4.2435159375
25 4.245351875
26 4.24720875
27 4.2490359375
28 4.25085625
29 4.2526828125
30 4.25451375
31 4.256331875
32 4.2581253125
33 4.2599421875
34 4.2617721875
35 4.263585
36 4.2654471875
37 4.2672990625
38 4.2691515625
39 4.2709684375
40 4.2728165625
41 4.274605625
42 4.2764290625
43 4.278245
44 4.2800115625
45 4.281766875
46 4.28347625
47 4.2852240625
48 4.287036875
49 4.288911875
50 4.2907075
51 4.2924365625
52 4.2941840625
53 4.2959665625
54 4.2977171875
55 4.29944375
56 4.3011721875
57 4.3029221875
58 4.3047071875
59 4.306469375
60 4.3082246875
61 4.309983125
62 4.3117809375
63 4.3135509375
64 4.3152771875
65 4.31701625
66 4.31876375
67 4.320513125
68 4.322233125
69 4.324023125
70 4.325798125
71 4.32758125
72 4.3293690625
73 4.3311215625
74 4.332854375
75 4.3346528125
76 4.3364515625
77 4.3382521875
78 4.3400059375
79 4.34174875
80 4.343504375
81 4.3452415625
82 4.3470153125
83 4.3487253125
84 4.3504734375
85 4.35221875
86 4.353934375
87 4.35564125
88 4.357355
89 4.3590478125
90 4.360739375
91 4.362418125
92 4.3641184375
93 4.3658084375
94 4.367509375
95 4.369206875
96 4.3709134375
97 4.372660625
98 4.3744059375
99 4.376124375
100 4.37788875
101 4.379655
102 4.3814178125
103 4.3831434375
104 4.3849153125
105 4.3866740625
106 4.388454375
107 4.390208125
108 4.3919659375
109 4.393713125
110 4.3954771875
111 4.397205
112 4.39895
113 4.4006778125
114 4.40240875
115 4.40416625
116 4.405894375
117 4.407591875
118 4.409283125
119 4.411015625
120 4.4126940625
