step,sim_time_sec,t_zone_c,t_amb_c,p_total_w,a0,a1,t_supply_cmd_c,fan_cmd_u,controller_source,prev_t_zone_c
0,3198600.0,22.323114684417533,-4.6483258928571445,1992.8521561689506,0.17307189106941223,0.12177089601755142,27.971111074090004,0.5608854480087757,ppo_thermostatic,17.5605729091929
1,3199500.0,21.605814621526065,-4.3237025669643,1589.951215008904,-0.0496964193880558,0.12633687257766724,26.077580435201526,0.5631684362888336,ppo_thermostatic,22.323114684417533
2,3200400.0,21.75819803345246,-4.0,1695.7270515154892,0.041660986840724945,0.059517569839954376,26.854118388146162,0.5297587849199772,ppo_thermostatic,21.605814621526065
3,3201300.0,21.700686930738357,-3.6260044642856997,1690.6306273502876,0.033659301698207855,0.05912993475794792,26.786104064434767,0.529564967378974,ppo_thermostatic,21.75819803345246
4,3202200.0,21.718081743621497,-3.225892857142867,1710.2347207091057,0.05232860893011093,0.043879978358745575,26.944793175905943,0.5219399891793728,ppo_thermostatic,21.700686930738357
5,3203100.0,21.749073583521465,-2.9128348214285893,1728.47155157588,0.06834130734205246,0.03523634374141693,27.080901112407446,0.5176181718707085,ppo_thermostatic,21.718081743621497
6,3204000.0,21.777213512002334,-2.8000000000000114,1746.4291928960208,0.08368732780218124,0.027212567627429962,27.21134228631854,0.513606283813715,ppo_thermostatic,21.749073583521465
7,3204900.0,21.81540233592932,-2.8249999999999886,1775.990731117856,0.10097520798444748,0.024814516305923462,27.358289267867804,0.5124072581529617,ppo_thermostatic,21.777213512002334
8,3205800.0,21.83799375676415,-2.8500000000000227,1799.835934762628,0.1153496578335762,0.020909450948238373,27.480472091585398,0.5104547254741192,ppo_thermostatic,21.81540233592932
9,3206700.0,21.86012284788194,-2.875,1824.6170181909758,0.12966784834861755,0.017615944147109985,27.60217671096325,0.508807972073555,ppo_thermostatic,21.83799375676415
10,3207600.0,21.884365897011776,-2.8999999999999773,1851.1312583712004,0.14348822832107544,0.016396351158618927,27.71964994072914,0.5081981755793095,ppo_thermostatic,21.86012284788194
11,3208500.0,21.86195427830694,-2.9250000000000114,1854.5037009125842,0.16971322894096375,-0.02129650115966797,27.942562445998192,0.489351749420166,ppo_thermostatic,21.884365897011776
12,3209400.0,21.903716507892,-2.9499999999999886,1892.2479779469718,0.1870669424533844,-0.018139570951461792,28.090069010853767,0.4909302145242691,ppo_thermostatic,21.86195427830694
13,3210300.0,21.95433176908881,-2.9750000000000227,1932.196959369896,0.19994470477104187,-0.006832405924797058,28.199529990553856,0.49658379703760147,ppo_thermostatic,21.903716507892
14,3211200.0,22.020054343830054,-3.0,1978.3161228210352,0.21186986565589905,0.010920919477939606,28.300893858075142,0.5054604597389698,ppo_thermostatic,21.95433176908881
15,3212100.0,22.06311642211847,-3.0984374999999886,2012.4992327135822,0.23831680417060852,0.00015087425708770752,28.525692835450172,0.5000754371285439,ppo_thermostatic,22.020054343830054
16,3213000.0,22.17085310729908,-3.2624999999999886,2085.2531731266777,0.25142982602119446,0.03504866361618042,28.637153521180153,0.5175243318080902,ppo_thermostatic,22.06311642211847
17,3213900.0,22.280258490026426,-3.3703125000000114,2157.363546325708,0.2575046718120575,0.07939741760492325,28.68878971040249,0.5396987088024616,ppo_thermostatic,22.17085310729908
18,3214800.0,22.379065386096386,-3.3000000000000114,2219.056632704939,0.2586289644241333,0.12461577355861664,28.698346197605133,0.5623078867793083,ppo_thermostatic,22.280258490026426
19,3215700.0,22.358617265395253,-3.1000000000000227,2211.604106008911,0.25384432077407837,0.12447604537010193,28.657676726579666,0.562238022685051,ppo_thermostatic,22.379065386096386
20,3216600.0,22.38487453167528,-2.8999999999999773,2231.3878792863447,0.24157392978668213,0.1573086380958557,28.553378403186798,0.5786543190479279,ppo_thermostatic,22.358617265395253
21,3217500.0,22.38211371940463,-2.6999999999999886,2235.543106030965,0.2210826873779297,0.19106921553611755,28.379202842712402,0.5955346077680588,ppo_thermostatic,22.38487453167528
22,3218400.0,22.348454593441033,-2.5,2224.871132552023,0.1961994767189026,0.22004565596580505,28.167695552110672,0.6100228279829025,ppo_thermostatic,22.38211371940463
23,3219300.0,22.115884727844104,-2.3000000000000114,2117.8528931675655,0.14201730489730835,0.20831428468227386,27.70714709162712,0.6041571423411369,ppo_thermostatic,22.348454593441033
24,3220200.0,21.978057153939858,-2.1000000000000227,2068.642647509954,0.10441724210977554,0.21880210936069489,27.387546557933092,0.6094010546803474,ppo_thermostatic,22.115884727844104
25,3221100.0,21.870498319925105,-1.8999999999999773,2030.613212671668,0.0688597783446312,0.2393871396780014,27.085308115929365,0.6196935698390007,ppo_thermostatic,21.978057153939858
26,3222000.0,21.81936229589229,-1.6999999999999886,1974.0132076864395,0.03562655299901962,0.25877225399017334,26.802825700491667,0.6293861269950867,ppo_thermostatic,21.870498319925105
27,3222900.0,21.70026384978894,-1.6578124999999773,1790.3559326058153,-0.030698522925376892,0.2512054145336151,26.239062555134296,0.6256027072668076,ppo_thermostatic,21.81936229589229
28,3223800.0,21.647674245738358,-1.7375000000000114,1599.5927347463505,-0.10188101977109909,0.26776158809661865,25.634011331945658,0.6338807940483093,ppo_thermostatic,21.70026384978894
29,3224700.0,21.50882642961176,-1.6484375,1407.84379834372,-0.1851007044315338,0.2937547266483307,24.926644012331963,0.6468773633241653,ppo_thermostatic,21.647674245738358
30,3225600.0,21.36651637057969,-1.1000000000000227,1242.432826777195,-0.2550976872444153,0.3082922101020813,24.33166965842247,0.6541461050510406,ppo_thermostatic,21.50882642961176
31,3226500.0,21.51149751618425,-0.22500000000002274,697.2203110545169,-0.39251771569252014,0.2819455564022064,23.16359941661358,0.6409727782011032,ppo_thermostatic,21.36651637057969
32,3227400.0,20.93559884396558,0.6499999999999773,362.05183162769373,-0.5607722997665405,0.2872505784034729,21.733435451984406,0.6436252892017365,ppo_thermostatic,21.51149751618425
33,3228300.0,20.97243296176623,1.5249999999999773,257.80985190680434,-0.5828632116317749,0.23256032168865204,21.545662701129913,0.616280160844326,ppo_thermostatic,20.93559884396558
34,3229200.0,20.961717935214324,2.3999999999999773,100.83988428460123,-0.6327738165855408,0.23219099640846252,21.121422559022903,0.6160954982042313,ppo_thermostatic,20.97243296176623
35,3230100.0,20.69463422070629,3.2749999999999773,101.9464875733392,-0.7462695240974426,0.23334644734859467,20.156709045171738,0.6166732236742973,ppo_thermostatic,20.961717935214324
36,3231000.0,20.996470148275534,4.149999999999977,121.25215059128351,-0.7368825674057007,0.1972016990184784,20.236498177051544,0.5986008495092392,ppo_thermostatic,20.69463422070629
37,3231900.0,20.991893301939,5.024999999999977,186.33268973350903,-0.7965344786643982,0.24168898165225983,19.729456931352615,0.6208444908261299,ppo_thermostatic,20.996470148275534
38,3232800.0,21.274768411665264,5.899999999999977,218.13310202829626,-0.7954754829406738,0.24318110942840576,19.738458395004272,0.6215905547142029,ppo_thermostatic,20.991893301939
39,3233700.0,20.838809332137487,6.774999999999977,355.81892878285714,-0.9376358985900879,0.3931131362915039,18.530094861984253,0.696556568145752,ppo_thermostatic,21.274768411665264
40,3234600.0,21.447795598387188,7.649999999999977,343.1889741189125,-0.8791517615318298,0.31416425108909607,19.027210026979446,0.657082125544548,ppo_thermostatic,20.838809332137487
41,3235500.0,21.01782574711251,8.524999999999977,505.62654703988676,-1.0,0.5329433083534241,18.0,0.766471654176712,ppo_thermostatic,21.447795598387188
42,3236400.0,21.704351272824624,9.399999999999977,473.1266730859006,-0.9324073791503906,0.4206432104110718,18.57453727722168,0.7103216052055359,ppo_thermostatic,21.01782574711251
43,3237300.0,21.35164468610685,9.962343750000002,652.2247837335366,-1.0,0.7381166815757751,18.0,0.8690583407878876,ppo_thermostatic,21.704351272824624
44,3238200.0,21.679660315073193,10.07458333333335,652.0184460475455,-1.0,0.6372955441474915,18.0,0.8186477720737457,ppo_thermostatic,21.35164468610685
45,3239100.0,21.707415293449117,9.999531250000018,742.2963899689979,-1.0,0.7983222603797913,18.0,0.8991611301898956,ppo_thermostatic,21.679660315073193
46,3240000.0,21.864717526360494,10.0,781.8818299238628,-1.0,0.8218507170677185,18.0,0.9109253585338593,ppo_thermostatic,21.707415293449117
47,3240900.0,21.951766039390634,10.125042613636367,844.1014537697238,-1.0,0.9023600816726685,18.0,0.9511800408363342,ppo_thermostatic,21.864717526360494
48,3241800.0,22.062437006254754,10.249280303030332,889.0100145856202,-1.0,0.9436568021774292,18.0,0.9718284010887146,ppo_thermostatic,21.951766039390634
49,3242700.0,22.155181854934597,10.373877840909074,934.3346196978896,-1.0,0.9887503981590271,18.0,0.9943751990795135,ppo_thermostatic,22.062437006254754
50,3243600.0,22.274230378327104,10.5,963.5924933741959,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.155181854934597
51,3244500.0,22.394060964956452,10.660653409090912,985.7674897410267,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.274230378327104
52,3245400.0,22.50035665743337,10.851136363636385,1005.4378897502406,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.394060964956452
53,3246300.0,22.58808420342251,11.016051136363615,1021.6731194933442,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.50035665743337
54,3247200.0,22.65077158834805,11.100000000000023,1033.2768615364569,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.58808420342251
55,3248100.0,22.68476629476072,11.066051136363626,1039.5744976660108,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.65077158834805
56,3249000.0,22.691398217907647,10.951136363636351,1040.812452804026,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.68476629476072
57,3249900.0,22.675048664055396,10.81065340909089,1037.801014934274,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.691398217907647
58,3250800.0,22.69887707936971,10.699999999999989,1010.6065255329553,-1.0,0.9540622234344482,18.0,0.9770311117172241,ppo_thermostatic,22.675048664055396
59,3251700.0,22.809960778513755,10.624112215909065,950.3470133835377,-1.0,0.8355380892753601,18.0,0.91776904463768,ppo_thermostatic,22.69887707936971
60,3252600.0,22.81587730556481,10.5499053030303,920.8994620133469,-1.0,0.7892776131629944,18.0,0.8946388065814972,ppo_thermostatic,22.809960778513755
61,3253500.0,22.862037965017862,10.475745738636363,873.038939635219,-1.0,0.7035612463951111,18.0,0.8517806231975555,ppo_thermostatic,22.81587730556481
62,3254400.0,22.876868437923918,10.399999999999977,827.077660027757,-1.0,0.6270034313201904,18.0,0.8135017156600952,ppo_thermostatic,22.862037965017862
63,3255300.0,22.986066263717873,10.338671874999989,750.661014008142,-1.0,0.4766359329223633,18.0,0.7383179664611816,ppo_thermostatic,22.876868437923918
64,3256200.0,22.9659400128632,10.280208333333348,703.4275828174452,-1.0,0.40169763565063477,18.0,0.7008488178253174,ppo_thermostatic,22.986066263717873
65,3257100.0,22.97678543498614,10.181640625,646.9103655204001,-1.0,0.3016337752342224,18.0,0.6508168876171112,ppo_thermostatic,22.9659400128632
