step,sim_time_sec,t_zone_c,t_amb_c,p_total_w,a0,a1,t_supply_cmd_c,fan_cmd_u,controller_source,prev_t_zone_c
0,261000.0,18.240921252937824,-22.75,1471.926289964275,-0.7250494956970215,1.0,20.337079286575317,1.0,ppo_thermostatic,16.117025771219744
1,261900.0,16.740051724062994,-23.025000000000006,953.6419321390246,-1.0,1.0,18.0,1.0,ppo_thermostatic,18.240921252937824
2,262800.0,16.614178793913368,-23.30000000000001,1030.7467842388025,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.740051724062994
3,263700.0,16.48913303528235,-23.57499999999999,1107.3272485892167,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.614178793913368
4,264600.0,16.366543458661056,-23.849999999999994,1182.3855832713289,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.48913303528235
5,265500.0,16.25521680288159,-24.125,1250.49588837774,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.366543458661056
6,266400.0,16.15409233041646,-24.400000000000006,1312.3251516994585,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.25521680288159
7,267300.0,16.066998665693745,-24.3828125,1365.5211231234287,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.15409233041646
8,268200.0,16.00121464983198,-23.98750000000001,1405.6061725470931,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.066998665693745
9,269100.0,15.948093084668301,-23.5234375,1437.9191748529,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.00121464983198
10,270000.0,15.895784024009515,-23.30000000000001,1469.7635231478196,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.948093084668301
11,270900.0,15.834840067802475,-23.30000000000001,1506.951895616091,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.895784024009515
12,271800.0,15.763281390269185,-23.30000000000001,1550.7014768637816,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.834840067802475
13,272700.0,15.687382735302151,-23.30000000000001,1597.1510932247263,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.763281390269185
14,273600.0,15.615268356096124,-23.30000000000001,1641.2998794780947,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.687382735302151
15,274500.0,15.550632617511326,-23.30000000000001,1680.8682801241348,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.615268356096124
16,275400.0,15.49073405888015,-23.30000000000001,1717.536423805403,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.550632617511326
17,276300.0,15.434117709009001,-23.30000000000001,1752.1968324525421,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.49073405888015
18,277200.0,15.380779351326794,-23.30000000000001,1784.8504800232138,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.434117709009001
19,278100.0,15.331403143010789,-23.30000000000001,1815.0776639146889,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.380779351326794
20,279000.0,15.287203074620777,-23.30000000000001,1842.1326035802674,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.331403143010789
21,279900.0,15.248775649441995,-23.30000000000001,1865.6478011027605,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.287203074620777
22,280800.0,15.21232673366103,-23.30000000000001,1887.9567981887733,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.248775649441995
23,281700.0,15.170609841696205,-23.30000000000001,1913.5163684596955,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.21232673366103
24,282600.0,15.123284735942775,-23.30000000000001,1942.5347572097064,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.170609841696205
25,283500.0,15.073780573076021,-23.30000000000001,1972.9019569436202,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.123284735942775
26,284400.0,15.028677535688985,-23.30000000000001,2000.5704349665125,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.073780573076021
27,285300.0,14.996269617045414,-23.386413043478257,2020.438750877529,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.028677535688985
28,286200.0,14.99427837368836,-23.580434782608705,2021.6093760591652,-1.0,1.0,18.0,1.0,ppo_thermostatic,14.996269617045414
29,287100.0,15.023877415130585,-23.78423913043477,2003.3622908260927,-1.0,1.0,18.0,1.0,ppo_thermostatic,14.99427837368836
30,288000.0,15.112880379493333,-23.900000000000006,1948.5927334156415,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.023877415130585
31,288900.0,15.692271590221878,-23.863275074110675,1592.1801052270596,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.112880379493333
32,289800.0,15.867421137995791,-23.67126976284584,1484.655548099141,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.692271590221878
33,290700.0,16.016241349351333,-23.318629570158095,1393.2795828736514,-1.0,1.0,18.0,1.0,ppo_thermostatic,15.867421137995791
34,291600.0,16.154082224925617,-22.80000000000001,1308.6195010027648,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.016241349351333
35,292500.0,16.29768139211393,-22.1633877840909,1220.384975689361,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.154082224925617
36,293400.0,16.44980810287103,-21.472443181818193,1126.874809648809,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.29768139211393
37,294300.0,16.60317506757366,-20.745276988636363,1032.5740754026008,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.44980810287103
38,295200.0,16.809163149225867,-20.0,905.8604418675591,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.60317506757366
39,296100.0,17.06816261703881,-19.15486505681818,746.4914207930946,-1.0,1.0,18.0,1.0,ppo_thermostatic,16.809163149225867
40,297000.0,17.36193668221125,-18.219602272727286,565.6934080877965,-1.0,1.0,18.0,1.0,ppo_thermostatic,17.06816261703881
41,297900.0,17.638763962779535,-17.34953835227273,395.3064840824539,-1.0,1.0,18.0,1.0,ppo_thermostatic,17.36193668221125
42,298800.0,17.89968952226195,-16.69999999999999,234.6937046490619,-1.0,1.0,18.0,1.0,ppo_thermostatic,17.638763962779535
