step,sim_time_sec,elapsed_days,t_amb_c,boptest_t_zone_c,surrogate_t_zone_c,boptest_p_total_w,surrogate_p_total_w,boptest_a0,boptest_a1,surrogate_a0,surrogate_a1,boptest_t_supply_cmd_c,surrogate_t_supply_cmd_c,boptest_fan_cmd_u,surrogate_fan_cmd_u
0,261000.0,0.020833333333333332,-22.75,23.53391136569485,21.22280502319336,3432.067822800321,50.233421325683594,0.7855692505836487,0.13888724148273468,0.7855692505836487,0.13888724148273468,33.177338629961014,33.177338629961014,0.5694436207413673,0.5694436207413673
1,261900.0,0.03125,-23.025000000000006,23.862152179129225,21.904199600219727,3499.9970841960803,55.12151336669922,0.7292100787162781,0.26449471712112427,0.45772141218185425,0.5254955887794495,32.698285669088364,30.39063200354576,0.6322473585605621,0.7627477943897247
2,262800.0,0.041666666666666664,-23.30000000000001,24.197976995605472,21.987863540649414,3702.1373391894485,55.95147705078125,0.886681854724884,0.20487047731876373,0.43600988388061523,0.5388109683990479,34.036795765161514,30.20608401298523,0.6024352386593819,0.7694054841995239
3,263700.0,0.052083333333333336,-23.57499999999999,24.461259426994616,22.07591438293457,3873.941201795264,56.085044860839844,0.9769854545593262,0.20075608789920807,0.4589480757713318,0.5459866523742676,34.80437636375427,30.40105864405632,0.600378043949604,0.7729933261871338
4,264600.0,0.0625,-23.849999999999994,24.506507602918646,22.106365203857422,3927.305267510728,56.4158935546875,1.0,0.20068594813346863,0.45842093229293823,0.5678763389587402,35.0,30.396577924489975,0.6003429740667343,0.7839381694793701
5,265500.0,0.07291666666666667,-24.125,24.47538436845184,22.105342864990234,3945.2292388910164,56.59466552734375,1.0,0.20317284762859344,0.456978976726532,0.5870378613471985,35.0,30.384321302175522,0.6015864238142967,0.7935189306735992
6,266400.0,0.08333333333333333,-24.400000000000006,24.46075727804663,22.097652435302734,3976.003035314453,56.674835205078125,1.0,0.21125897765159607,0.4565984606742859,0.6062455773353577,35.0,30.38108691573143,0.605629488825798,0.8031227886676788
7,267300.0,0.09375,-24.3828125,24.46512304810534,21.991249084472656,4010.7466293896614,56.70880126953125,1.0,0.22259023785591125,0.43573784828186035,0.6242401003837585,35.0,30.203771710395813,0.6112951189279556,0.8121200501918793
8,268200.0,0.10416666666666667,-23.98750000000001,24.48394718881127,21.992801666259766,4034.7768188714335,56.531982421875,1.0,0.2323172688484192,0.4399004578590393,0.6351649761199951,35.0,30.239153891801834,0.6161586344242096,0.8175824880599976
9,269100.0,0.11458333333333333,-23.5234375,24.50848127667507,22.099720001220703,4051.2258001563787,56.60346984863281,1.0,0.24041162431240082,0.440570592880249,0.6531722545623779,35.0,30.244850039482117,0.6202058121562004,0.826586127281189
10,270000.0,0.125,-23.30000000000001,24.528209520924236,22.21822166442871,4067.0531976481843,56.78067398071289,1.0,0.24775810539722443,0.4326164722442627,0.6730517745018005,35.0,30.177240014076233,0.6238790526986122,0.8365258872509003
11,270900.0,0.13541666666666666,-23.30000000000001,24.515971247774246,22.291059494018555,4078.5387294477796,56.7525634765625,1.0,0.25008079409599304,0.42678070068359375,0.6866603493690491,35.0,30.127635955810547,0.6250403970479965,0.8433301746845245
12,271800.0,0.14583333333333334,-23.30000000000001,24.492679016007514,22.29319190979004,4102.785871276803,56.56650924682617,1.0,0.25491076707839966,0.4181908369064331,0.6988929510116577,35.0,30.05462211370468,0.6274553835391998,0.8494464755058289
13,272700.0,0.15625,-23.30000000000001,24.44857921207256,22.27327537536621,4125.082077892392,56.19571304321289,1.0,0.2566966414451599,0.41345536708831787,0.7055642604827881,35.0,30.014370620250702,0.62834832072258,0.852782130241394
14,273600.0,0.16666666666666666,-23.30000000000001,24.39723379735807,22.241256713867188,4142.219263998951,55.7460823059082,1.0,0.2560730278491974,0.40913933515548706,0.7096099257469177,35.0,29.97768434882164,0.6280365139245987,0.8548049628734589
15,274500.0,0.17708333333333334,-23.30000000000001,24.30294534525831,22.280460357666016,4128.773035723253,54.93661117553711,1.0,0.24153050780296326,0.43025028705596924,0.6974079608917236,35.0,30.15712743997574,0.6207652539014816,0.8487039804458618
16,275400.0,0.1875,-23.30000000000001,24.254823025236988,22.26620101928711,4140.502267777766,54.511661529541016,1.0,0.23972006142139435,0.42498016357421875,0.7002473473548889,35.0,30.11233139038086,0.6198600307106972,0.8501236736774445
17,276300.0,0.19791666666666666,-23.30000000000001,24.21459538935318,22.212289810180664,4153.651205279018,54.00779724121094,1.0,0.23920682072639465,0.41718989610671997,0.6993257999420166,35.0,30.04611411690712,0.6196034103631973,0.8496628999710083
18,277200.0,0.20833333333333334,-23.30000000000001,24.174660071085725,22.142030715942383,4164.420719431035,53.4583625793457,1.0,0.23802432417869568,0.4100242257118225,0.6963132619857788,35.0,29.98520591855049,0.6190121620893478,0.8481566309928894
19,278100.0,0.21875,-23.30000000000001,24.084745604809143,22.033641815185547,4144.4551351119135,52.85072326660156,1.0,0.22244277596473694,0.3990682363510132,0.6872275471687317,35.0,29.892080008983612,0.6112213879823685,0.8436137735843658
20,279000.0,0.22916666666666666,-23.30000000000001,24.045635178247892,21.93907356262207,4152.315096587732,52.27714157104492,1.0,0.22055941820144653,0.3925381898880005,0.6814064979553223,35.0,29.836574614048004,0.6102797091007233,0.8407032489776611
21,279900.0,0.23958333333333334,-23.30000000000001,24.01678756031805,21.84600067138672,4161.61286730174,51.7829475402832,1.0,0.22020010650157928,0.38459622859954834,0.6767231822013855,35.0,29.76906794309616,0.6101000532507896,0.8383615911006927
22,280800.0,0.25,-23.30000000000001,23.987685289900583,21.74732780456543,4169.198458860153,51.34237289428711,1.0,0.21931496262550354,0.3757855296134949,0.6719334125518799,35.0,29.694177001714706,0.6096574813127518,0.8359667062759399
23,281700.0,0.2604166666666667,-23.30000000000001,23.909318007183174,21.58696746826172,4151.741686397223,50.85948181152344,1.0,0.20601917803287506,0.35982024669647217,0.6583723425865173,35.0,29.558472096920013,0.6030095890164375,0.8291861712932587
24,282600.0,0.2708333333333333,-23.30000000000001,23.86377025050922,21.45968246459961,4160.994338317766,50.394126892089844,1.0,0.20390388369560242,0.35376518964767456,0.6497392654418945,35.0,29.507004112005234,0.6019519418478012,0.8248696327209473
25,283500.0,0.28125,-23.30000000000001,23.818674297245366,21.35918617248535,4171.762603021643,50.06072998046875,1.0,0.20227479934692383,0.3463854193687439,0.6435436010360718,35.0,29.444276064634323,0.6011373996734619,0.8217718005180359
26,284400.0,0.2916666666666667,-23.30000000000001,23.777076674577472,21.30394744873047,4178.484621815363,49.84088134765625,1.0,0.19987505674362183,0.3368031978607178,0.6382710933685303,35.0,29.3628271818161,0.5999375283718109,0.8191355466842651
27,285300.0,0.3020833333333333,-23.386413043478257,23.69237393016681,21.234010696411133,4144.768574428816,49.816734313964844,1.0,0.18170882761478424,0.30492472648620605,0.6277312636375427,35.0,29.09186017513275,0.5908544138073921,0.8138656318187714
28,286200.0,0.3125,-23.580434782608705,23.717776369513274,21.32718276977539,4136.9312190359615,49.793800354003906,1.0,0.18213048577308655,0.2861012816429138,0.6214829087257385,35.0,28.931860893964767,0.5910652428865433,0.8107414543628693
29,287100.0,0.3229166666666667,-23.78423913043477,23.76030827420169,21.49669075012207,4096.227157196584,50.2523307800293,0.9819445610046387,0.19088107347488403,0.2543027997016907,0.6234180927276611,34.84652876853943,28.66157379746437,0.595440536737442,0.8117090463638306
30,288000.0,0.3333333333333333,-23.900000000000006,23.83082853064667,21.63840675354004,3999.267790744133,51.071067810058594,0.9428267478942871,0.20588594675064087,0.21466608345508575,0.6272867321968079,34.51402735710144,28.32466170936823,0.6029429733753204,0.8136433660984039
31,288900.0,0.34375,-23.863275074110675,24.28673022841582,21.45307159423828,3590.063838699475,52.47509765625,0.8638125061988831,0.2087419629096985,0.12897858023643494,0.6162161827087402,33.842406302690506,27.596317932009697,0.6043709814548492,0.8081080913543701
32,289800.0,0.3541666666666667,-23.67126976284584,24.156747513578296,21.422590255737305,3288.058792814773,52.47163391113281,0.6859312057495117,0.28953415155410767,0.11411561071872711,0.5977448225021362,32.33041524887085,27.46998269110918,0.6447670757770538,0.7988724112510681
33,290700.0,0.3645833333333333,-23.318629570158095,24.012021089840403,21.441129684448242,3025.600218699257,53.11598205566406,0.5722976922988892,0.31603944301605225,0.09978510439395905,0.5914092063903809,31.364530384540558,27.348173387348652,0.6580197215080261,0.7957046031951904
34,291600.0,0.375,-22.80000000000001,23.896036953869157,21.469715118408203,2802.932393063015,54.09368896484375,0.4803205132484436,0.3374866247177124,0.08566688001155853,0.5873475670814514,30.58272436261177,27.228168480098248,0.6687433123588562,0.7936737835407257
35,292500.0,0.3854166666666667,-22.1633877840909,23.597006394599987,21.234102249145508,2493.0250090204886,56.718170166015625,0.3451012372970581,0.3582504391670227,0.011761143803596497,0.584536612033844,29.433360517024994,26.59996972233057,0.6791252195835114,0.792268306016922
36,293400.0,0.3958333333333333,-21.472443181818193,23.481444383399037,21.279756546020508,2275.327216187372,56.81130599975586,0.2647112011909485,0.3693666458129883,0.01482933759689331,0.5621336698532104,28.750045210123062,26.626049369573593,0.6846833229064941,0.7810668349266052
37,294300.0,0.40625,-20.745276988636363,23.434597378931187,21.38207244873047,2077.597427448986,58.50968933105469,0.1987764686346054,0.3810405731201172,0.003842398524284363,0.5587319135665894,28.189599983394146,26.532660387456417,0.6905202865600586,0.7793659567832947
38,295200.0,0.4166666666666667,-20.0,23.48033725303253,21.502967834472656,1870.306395726272,60.73145294189453,0.14270086586475372,0.391257643699646,-0.01022806391119957,0.5573740005493164,27.712957359850407,26.413061456754804,0.695628821849823,0.7786870002746582
39,296100.0,0.4270833333333333,-19.15486505681818,23.14759345748962,21.303102493286133,1505.9435636737348,66.47530364990234,-0.0040448009967803955,0.41487014293670654,-0.10447487235069275,0.5592867732048035,26.465619191527367,25.61196358501911,0.7074350714683533,0.7796433866024017
40,297000.0,0.4375,-18.219602272727286,23.14520167481828,21.43648338317871,1292.36664479663,66.93993377685547,-0.062505804002285,0.4165600538253784,-0.10045620799064636,0.5346853137016296,25.968700665980577,25.646122232079506,0.7082800269126892,0.7673426568508148
41,297900.0,0.4479166666666667,-17.34953835227273,23.19731554694397,21.625247955322266,1069.5020812282132,70.67901611328125,-0.11882519721984863,0.4267308712005615,-0.11592026799917221,0.5346077084541321,25.489985823631287,25.514677722007036,0.7133654356002808,0.767303854227066
42,298800.0,0.4583333333333333,-16.69999999999999,23.268388981681028,21.803607940673828,853.1440041347059,75.32723999023438,-0.17065612971782684,0.4388718008995056,-0.13499462604522705,0.5366625785827637,25.049422897398472,25.35254567861557,0.7194359004497528,0.7683312892913818
43,299700.0,0.46875,-16.373070790816314,23.093128658455612,21.744226455688477,545.0382614852955,83.51155090332031,-0.2750014662742615,0.45405346155166626,-0.2038429081439972,0.5381587743759155,24.162487536668777,24.767335280776024,0.7270267307758331,0.7690793871879578
44,300600.0,0.4791666666666667,-16.265688775510228,23.141648536116804,21.78569984436035,374.7201457952551,84.63700866699219,-0.31422626972198486,0.45579010248184204,-0.20509012043476105,0.5238915681838989,23.82907670736313,24.75673397630453,0.727895051240921,0.7619457840919495
45,301500.0,0.4895833333333333,-16.225462372448987,23.164820763692774,21.816360473632812,213.31932441584974,86.62507629394531,-0.35440099239349365,0.4642152190208435,-0.20781514048576355,0.5220163464546204,23.487591564655304,24.73357130587101,0.7321076095104218,0.7610081732273102
46,302400.0,0.5,-16.100000000000023,23.234034147968657,21.838716506958008,76.6326381697089,87.96076965332031,-0.38219547271728516,0.47107845544815063,-0.20619268715381622,0.5205944776535034,23.251338481903076,24.747362159192562,0.7355392277240753,0.7602972388267517
47,303300.0,0.5104166666666666,-15.867091836734687,23.281664900555313,21.860403060913086,115.36540584031141,90.26177215576172,-0.41598278284072876,0.4905604124069214,-0.20878468453884125,0.5291793346405029,22.964146345853806,24.72533018141985,0.7452802062034607,0.7645896673202515
