step,sim_time_sec,t_zone_c,t_amb_c,p_total_w,a0,a1,t_supply_cmd_c,fan_cmd_u,controller_source,prev_t_zone_c
0,261000.0,25.91205902540071,-22.75,4649.120320645012,1.0,0.6199471354484558,35.0,0.8099735677242279,ppo_thermostatic,16.117025771219744
1,261900.0,16.939327466259897,-23.025000000000006,830.406774982438,-1.0,1.0,18.0,1.0,ppo_thermostatic,25.91205902540071
2,262800.0,24.322776243794408,-23.30000000000001,4036.6692908526093,1.0,0.2114679366350174,35.0,0.6057339683175087,ppo_thermostatic,16.939327466259897
3,263700.0,16.76706692405577,-23.57499999999999,935.6650925298745,-1.0,1.0,18.0,1.0,ppo_thermostatic,24.322776243794408
4,264600.0,23.958115651569642,-23.849999999999994,4115.301551537692,1.0,0.19633466005325317,35.0,0.5981673300266266,ppo_thermostatic,16.76706692405577
5,265500.0,16.636625839314092,-24.125,1015.1559825265745,-1.0,1.0,18.0,1.0,ppo_thermostatic,23.958115651569642
6,266400.0,23.64322958324459,-24.400000000000006,4153.875667721741,1.0,0.1757897436618805,35.0,0.5878948718309402,ppo_thermostatic,16.636625839314092
7,267300.0,16.511901129153728,-24.3828125,1091.215782301993,-1.0,1.0,18.0,1.0,ppo_thermostatic,23.64322958324459
8,268200.0,23.375125161995868,-23.98750000000001,4154.226034444312,1.0,0.1502281278371811,35.0,0.5751140639185905,ppo_thermostatic,16.511901129153728
9,269100.0,16.439318439508895,-23.5234375,1135.2363709566991,-1.0,1.0,18.0,1.0,ppo_thermostatic,23.375125161995868
10,270000.0,23.191010763637223,-23.30000000000001,4148.009329510614,1.0,0.13165895640850067,35.0,0.5658294782042503,ppo_thermostatic,16.439318439508895
11,270900.0,16.362968257710293,-23.30000000000001,1181.6841630880679,-1.0,1.0,18.0,1.0,ppo_thermostatic,23.191010763637223
12,271800.0,23.024141095449465,-23.30000000000001,4186.042972673221,1.0,0.12680837512016296,35.0,0.5634041875600815,ppo_thermostatic,16.362968257710293
13,272700.0,16.246633928604297,-23.30000000000001,1252.8384690019689,-1.0,1.0,18.0,1.0,ppo_thermostatic,23.024141095449465
14,273600.0,22.76562332567954,-23.30000000000001,4202.370001750683,1.0,0.10810147225856781,35.0,0.5540507361292839,ppo_thermostatic,16.246633928604297
15,274500.0,16.134791055573658,-23.30000000000001,1321.3181575782985,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.76562332567954
16,275400.0,22.8798005453516,-23.30000000000001,4392.629269068949,1.0,0.16847562789916992,35.0,0.584237813949585,ppo_thermostatic,16.134791055573658
17,276300.0,16.05269466545093,-23.30000000000001,1371.5443778857677,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.8798005453516
18,277200.0,22.696620140623338,-23.30000000000001,4405.215127643553,1.0,0.15495170652866364,35.0,0.5774758532643318,ppo_thermostatic,16.05269466545093
19,278100.0,15.972893733483716,-23.30000000000001,1420.3938459688202,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.696620140623338
20,279000.0,22.283498619889144,-23.30000000000001,4290.14346946715,1.0,0.08956318348646164,35.0,0.5447815917432308,ppo_thermostatic,15.972893733483716
21,279900.0,15.894680823494866,-23.30000000000001,1468.302926626316,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.283498619889144
22,280800.0,22.11217300870419,-23.30000000000001,4301.421501912131,1.0,0.07828104496002197,35.0,0.539140522480011,ppo_thermostatic,15.894680823494866
23,281700.0,15.824981672178637,-23.30000000000001,1511.0069411421305,-1.0,1.0,18.0,1.0,ppo_thermostatic,22.11217300870419
24,282600.0,21.984714852666457,-23.30000000000001,4340.624840743856,1.0,0.07763677090406418,35.0,0.5388183854520321,ppo_thermostatic,15.824981672178637
25,283500.0,15.748033378311618,-23.30000000000001,1558.1985525729556,-1.0,1.0,18.0,1.0,ppo_thermostatic,21.984714852666457
26,284400.0,21.812816259184558,-23.30000000000001,4356.561180575222,1.0,0.06778382509946823,35.0,0.5338919125497341,ppo_thermostatic,15.748033378311618
27,285300.0,15.694127040155422,-23.386413043478257,1591.2441858826353,-1.0,1.0,18.0,1.0,ppo_thermostatic,21.812816259184558
28,286200.0,21.680212214322353,-23.580434782608705,4319.607424473802,1.0,0.048533499240875244,35.0,0.5242667496204376,ppo_thermostatic,15.694127040155422
29,287100.0,15.745644990056348,-23.78423913043477,1559.4815682388346,-1.0,1.0,18.0,1.0,ppo_thermostatic,21.680212214322353
