step,sim_time_sec,t_zone_c,t_amb_c,p_total_w,a0,a1,t_supply_cmd_c,fan_cmd_u,controller_source,prev_t_zone_c
0,3198600.0,26.923419449074743,-4.6483258928571445,4299.672108767198,1.0,0.6786161065101624,35.0,0.8393080532550812,ppo_thermostatic,17.5605729091929
1,3199500.0,17.778729406115076,-4.3237025669643,311.2089374293361,-1.0,1.0,18.0,1.0,ppo_thermostatic,26.923419449074743
2,3200400.0,25.847954556949958,-4.0,3728.6589731247404,1.0,0.3008573055267334,35.0,0.6504286527633667,ppo_thermostatic,17.778729406115076
3,3201300.0,17.742007614586612,-3.6260044642856997,333.4544530750777,-1.0,1.0,18.0,1.0,ppo_thermostatic,25.847954556949958
4,3202200.0,25.658149527404703,-3.225892857142867,3694.096133773234,1.0,0.2651304006576538,35.0,0.6325652003288269,ppo_thermostatic,17.742007614586612
5,3203100.0,17.73264355913716,-2.9128348214285893,338.8689801494761,-1.0,1.0,18.0,1.0,ppo_thermostatic,25.658149527404703
6,3204000.0,25.566958550110883,-2.8000000000000114,3679.19271871542,1.0,0.24937567114830017,35.0,0.6246878355741501,ppo_thermostatic,17.73264355913716
7,3204900.0,17.708487268928707,-2.8249999999999886,353.4833770378601,-1.0,1.0,18.0,1.0,ppo_thermostatic,25.566958550110883
8,3205800.0,25.4183606996167,-2.8500000000000227,3647.009998705603,1.0,0.22085663676261902,35.0,0.6104283183813095,ppo_thermostatic,17.708487268928707
9,3206700.0,17.670734137074476,-2.875,376.5292672026321,-1.0,1.0,18.0,1.0,ppo_thermostatic,25.4183606996167
10,3207600.0,25.305244410355556,-2.8999999999999773,3638.830067825414,1.0,0.20498694479465485,35.0,0.6024934723973274,ppo_thermostatic,17.670734137074476
11,3208500.0,17.63264147407449,-2.9250000000000114,399.8165523683487,-1.0,1.0,18.0,1.0,ppo_thermostatic,25.305244410355556
12,3209400.0,25.173204495304333,-2.9499999999999886,3622.721770911952,1.0,0.18456342816352844,35.0,0.5922817140817642,ppo_thermostatic,17.63264147407449
13,3210300.0,17.593816555483443,-2.9750000000000227,423.58214550267036,-1.0,1.0,18.0,1.0,ppo_thermostatic,25.173204495304333
14,3211200.0,25.060201707462284,-3.0,3618.249693477628,1.0,0.17040549218654633,35.0,0.5852027460932732,ppo_thermostatic,17.593816555483443
15,3212100.0,17.553459577255182,-3.0984374999999886,448.314475639218,-1.0,1.0,18.0,1.0,ppo_thermostatic,25.060201707462284
16,3213000.0,24.92213280417917,-3.2624999999999886,3609.754724059321,1.0,0.15241089463233948,35.0,0.5762054473161697,ppo_thermostatic,17.553459577255182
17,3213900.0,17.50140697798963,-3.3703125000000114,480.267734408914,-1.0,1.0,18.0,1.0,ppo_thermostatic,24.92213280417917
18,3214800.0,24.79910336333353,-3.3000000000000114,3613.6273783696693,1.0,0.1402807980775833,35.0,0.5701403990387917,ppo_thermostatic,17.50140697798963
19,3215700.0,17.468122657632932,-3.1000000000000227,500.67360545059375,-1.0,1.0,18.0,1.0,ppo_thermostatic,24.79910336333353
20,3216600.0,24.67304190170205,-2.8999999999999773,3591.106951150679,1.0,0.11996046453714371,35.0,0.5599802322685719,ppo_thermostatic,17.468122657632932
21,3217500.0,17.449322720674218,-2.6999999999999886,512.1780577766906,-1.0,1.0,18.0,1.0,ppo_thermostatic,24.67304190170205
22,3218400.0,24.6023347334106,-2.5,3588.109816348516,1.0,0.11172471940517426,35.0,0.5558623597025871,ppo_thermostatic,17.449322720674218
23,3219300.0,17.435171261853327,-2.3000000000000114,520.8369935822709,-1.0,1.0,18.0,1.0,ppo_thermostatic,24.6023347334106
24,3220200.0,24.508935383907215,-2.1000000000000227,3565.9022360501467,1.0,0.0954240933060646,35.0,0.5477120466530323,ppo_thermostatic,17.435171261853327
25,3221100.0,17.426053781333508,-1.8999999999999773,526.4104926658463,-1.0,1.0,18.0,1.0,ppo_thermostatic,24.508935383907215
26,3222000.0,24.530282156775,-1.6999999999999886,3541.7392966981597,1.0,0.09033071249723434,35.0,0.5451653562486172,ppo_thermostatic,17.426053781333508
27,3222900.0,17.543580737379784,-1.6578124999999773,454.0375818878425,-1.0,1.0,18.0,1.0,ppo_thermostatic,24.530282156775
28,3223800.0,24.958965822920675,-1.7375000000000114,3395.6567183507427,1.0,0.08966031670570374,35.0,0.5448301583528519,ppo_thermostatic,17.543580737379784
29,3224700.0,17.786959161770085,-1.6484375,304.2069261439932,-1.0,1.0,18.0,1.0,ppo_thermostatic,24.958965822920675
30,3225600.0,25.47408562814212,-1.1000000000000227,3300.613982631451,1.0,0.11549967527389526,35.0,0.5577498376369476,ppo_thermostatic,17.786959161770085
31,3226500.0,18.52393177154954,-0.22500000000002274,269.9117433282484,-1.0,1.0,18.0,1.0,ppo_thermostatic,25.47408562814212
32,3227400.0,26.448690718563114,0.6499999999999773,2839.246615430811,1.0,0.06849853694438934,35.0,0.5342492684721947,ppo_thermostatic,18.52393177154954
33,3228300.0,18.914994588011268,1.5249999999999773,342.1707902295793,-1.0,1.0,18.0,1.0,ppo_thermostatic,26.448690718563114
34,3229200.0,26.85967061980466,2.3999999999999773,2502.091734952161,1.0,-0.010195598006248474,35.0,0.49490220099687576,ppo_thermostatic,18.914994588011268
35,3230100.0,19.32513561827534,3.2749999999999773,417.9896667693714,-1.0,1.0,18.0,1.0,ppo_thermostatic,26.85967061980466
36,3231000.0,27.29583608620038,4.149999999999977,2170.1313155618036,1.0,-0.09225745499134064,35.0,0.4538712725043297,ppo_thermostatic,19.32513561827534
37,3231900.0,19.789161171586898,5.024999999999977,503.7955897064337,-1.0,1.0,18.0,1.0,ppo_thermostatic,27.29583608620038
38,3232800.0,27.863900540834663,5.899999999999977,1895.5350314213151,1.0,-0.14390231668949127,35.0,0.42804884165525436,ppo_thermostatic,19.789161171586898
39,3233700.0,20.32479215765727,6.774999999999977,602.8622754787657,-1.0,1.0,18.0,1.0,ppo_thermostatic,27.863900540834663
40,3234600.0,28.407297989607855,7.649999999999977,1629.2954660516184,1.0,-0.20326094329357147,35.0,0.39836952835321426,ppo_thermostatic,20.32479215765727
41,3235500.0,20.87739604445352,8.524999999999977,705.0888351299793,-1.0,1.0,18.0,1.0,ppo_thermostatic,28.407297989607855
42,3236400.0,29.00642389787265,9.399999999999977,1434.50971300461,1.0,-0.22865574061870575,35.0,0.3856721296906471,ppo_thermostatic,20.87739604445352
43,3237300.0,21.426524296209493,9.962343750000002,806.6876790212087,-1.0,1.0,18.0,1.0,ppo_thermostatic,29.00642389787265
44,3238200.0,29.586154886377187,10.07458333333335,1273.801788116322,1.0,-0.2421771138906479,35.0,0.37891144305467606,ppo_thermostatic,21.426524296209493
45,3239100.0,21.89286352490376,9.999531250000018,892.9752254771993,-1.0,1.0,18.0,1.0,ppo_thermostatic,29.586154886377187
46,3240000.0,30.117220002433726,10.0,1165.601350111758,1.0,-0.23198609054088593,35.0,0.38400695472955704,ppo_thermostatic,21.89286352490376
47,3240900.0,22.308625881488922,10.125042613636367,969.9064721759662,-1.0,1.0,18.0,1.0,ppo_thermostatic,30.117220002433726
48,3241800.0,30.602558698802227,10.249280303030332,1074.6198918826276,1.0,-0.21489380300045013,35.0,0.39255309849977493,ppo_thermostatic,22.308625881488922
49,3242700.0,22.676963872862984,10.373877840909074,1038.064640254712,-1.0,1.0,18.0,1.0,ppo_thermostatic,30.602558698802227
50,3243600.0,31.065090182110282,10.5,996.465986766221,1.0,-0.18800373375415802,35.0,0.405998133122921,ppo_thermostatic,22.676963872862984
51,3244500.0,23.00166438509342,10.660653409090912,1098.1479176861544,-1.0,1.0,18.0,1.0,ppo_thermostatic,31.065090182110282
52,3245400.0,31.481095946097867,10.851136363636385,922.2947105328169,1.0,-0.16150178015232086,35.0,0.41924910992383957,ppo_thermostatic,23.00166438509342
53,3246300.0,23.266102614762474,11.016051136363615,1147.0805639918315,-1.0,1.0,18.0,1.0,ppo_thermostatic,31.481095946097867
54,3247200.0,31.813082191630656,11.100000000000023,869.4321875582601,1.0,-0.12952925264835358,35.0,0.4352353736758232,ppo_thermostatic,23.266102614762474
55,3248100.0,23.429987222243426,11.066051136363626,1177.414845781034,-1.0,1.0,18.0,1.0,ppo_thermostatic,31.813082191630656
56,3249000.0,31.995017386094503,10.951136363636351,848.4551270182315,1.0,-0.10104936361312866,35.0,0.44947531819343567,ppo_thermostatic,23.429987222243426
57,3249900.0,23.482489983250105,10.81065340909089,1187.1538375411326,-1.0,1.0,18.0,1.0,ppo_thermostatic,31.995017386094503
58,3250800.0,32.044542434017046,10.699999999999989,855.5003748428962,1.0,-0.0795404314994812,35.0,0.4602297842502594,ppo_thermostatic,23.482489983250105
59,3251700.0,23.459974341607733,10.624112215909065,1183.0222778150944,-1.0,1.0,18.0,1.0,ppo_thermostatic,32.044542434017046
60,3252600.0,32.013547381506044,10.5499053030303,878.7830249754734,1.0,-0.06473088264465332,35.0,0.46763455867767334,ppo_thermostatic,23.459974341607733
61,3253500.0,23.371843324078043,10.475745738636363,1166.756378354023,-1.0,1.0,18.0,1.0,ppo_thermostatic,32.013547381506044
62,3254400.0,31.864430237402814,10.399999999999977,929.030903002269,1.0,-0.05767916142940521,35.0,0.4711604192852974,ppo_thermostatic,23.371843324078043
63,3255300.0,23.20559468331618,10.338671874999989,1136.040030871518,-1.0,1.0,18.0,1.0,ppo_thermostatic,31.864430237402814
64,3256200.0,31.573363922808028,10.280208333333348,1013.1320291548014,1.0,-0.058130353689193726,35.0,0.47093482315540314,ppo_thermostatic,23.20559468331618
65,3257100.0,22.971638942921743,10.181640625,1092.7899666819696,-1.0,1.0,18.0,1.0,ppo_thermostatic,31.573363922808028
66,3258000.0,31.20248282447278,10.0,1115.199141360736,1.0,-0.0627543032169342,35.0,0.4686228483915329,ppo_thermostatic,22.971638942921743
67,3258900.0,22.70711562896139,9.698046874999989,1043.8733381924949,-1.0,1.0,18.0,1.0,ppo_thermostatic,31.20248282447278
68,3259800.0,30.829216508244485,9.307291666666686,1223.6331312197703,1.0,-0.062359631061553955,35.0,0.468820184469223,ppo_thermostatic,22.70711562896139
69,3260700.0,22.467267278941506,8.887890625000011,999.5088725250264,-1.0,1.0,18.0,1.0,ppo_thermostatic,30.829216508244485
70,3261600.0,30.527379460777297,8.5,1307.228239388488,1.0,-0.0649288147687912,35.0,0.4675355926156044,ppo_thermostatic,22.467267278941506
71,3262500.0,21.864112780370192,8.149765624999986,887.7189961779359,-1.0,1.0,18.0,1.0,ppo_thermostatic,30.527379460777297
72,3263400.0,29.671664196650852,7.801458333333358,1607.942429549349,1.0,-0.03307870030403137,35.0,0.4834606498479843,ppo_thermostatic,21.864112780370192
73,3264300.0,21.617573601237723,7.452421875000027,841.9595770673467,-1.0,1.0,18.0,1.0,ppo_thermostatic,29.671664196650852
74,3265200.0,29.538793695505092,7.100000000000023,1768.9930252879435,1.0,0.03664236515760422,35.0,0.5183211825788021,ppo_thermostatic,21.617573601237723
75,3266100.0,21.417126250883655,6.726875000000007,804.7753112060515,-1.0,1.0,18.0,1.0,ppo_thermostatic,29.538793695505092
76,3267000.0,29.431882332693533,6.3349999999999795,1904.0904900716891,1.0,0.09326350688934326,35.0,0.5466317534446716,ppo_thermostatic,21.417126250883655
77,3267900.0,21.23396482934089,5.950625000000002,770.819377959038,-1.0,1.0,18.0,1.0,ppo_thermostatic,29.431882332693533
78,3268800.0,29.31819258879318,5.600000000000023,2017.0092952665784,1.0,0.13419727981090546,35.0,0.5670986399054527,ppo_thermostatic,21.23396482934089
79,3269700.0,21.06443803011541,5.300625000000025,739.4110177289174,-1.0,1.0,18.0,1.0,ppo_thermostatic,29.31819258879318
80,3270600.0,29.211445459240736,5.035000000000025,2110.779249302343,1.0,0.16456609964370728,35.0,0.5822830498218536,ppo_thermostatic,21.06443803011541
81,3271500.0,20.907751791707653,4.776875000000018,710.4004723860226,-1.0,1.0,18.0,1.0,ppo_thermostatic,29.211445459240736
82,3272400.0,29.104185571153323,4.5,2189.911772522725,1.0,0.18602147698402405,35.0,0.593010738492012,ppo_thermostatic,20.907751791707653
83,3273300.0,20.757050651048303,4.202499999999986,682.5148393458492,-1.0,1.0,18.0,1.0,ppo_thermostatic,29.104185571153323
84,3274200.0,29.016133409424697,3.9016666666666424,2276.638101854422,1.0,0.21429020166397095,35.0,0.6071451008319855,ppo_thermostatic,20.757050651048303
85,3275100.0,20.6112341982452,3.6000000000000227,655.5483812905272,-1.0,1.0,18.0,1.0,ppo_thermostatic,29.016133409424697
86,3276000.0,28.88443529020242,3.3000000000000114,2343.563878616927,1.0,0.22328028082847595,35.0,0.611640140414238,ppo_thermostatic,20.6112341982452
87,3276900.0,20.470139988239566,3.044687500000009,629.4631162722609,-1.0,1.0,18.0,1.0,ppo_thermostatic,28.88443529020242
88,3277800.0,28.77457713871354,2.825833333333321,2415.088346840485,1.0,0.23827505111694336,35.0,0.6191375255584717,ppo_thermostatic,20.470139988239566
89,3278700.0,20.33794629777617,2.5690624999999727,605.0253178946803,-1.0,1.0,18.0,1.0,ppo_thermostatic,28.77457713871354
90,3279600.0,28.627328888145314,2.1999999999999886,2470.184783146134,1.0,0.23779715597629547,35.0,0.6188985779881477,ppo_thermostatic,20.33794629777617
91,3280500.0,20.1955957545199,1.677812500000016,578.7119096667884,-1.0,1.0,18.0,1.0,ppo_thermostatic,28.627328888145314
92,3281400.0,28.484107639047295,1.0491666666666788,2553.901414901687,1.0,0.2516505718231201,35.0,0.6258252859115601,ppo_thermostatic,20.1955957545199
93,3282300.0,20.03445069042084,0.370937500000025,548.9262273781081,-1.0,1.0,18.0,1.0,ppo_thermostatic,28.484107639047295
94,3283200.0,28.272403967047637,-0.30000000000001137,2627.610809024913,1.0,0.2480545938014984,35.0,0.6240272969007492,ppo_thermostatic,20.03445069042084
95,3284100.0,19.866389546051266,-0.9488281249999773,517.8640825674914,-1.0,1.0,18.0,1.0,ppo_thermostatic,28.272403967047637
96,3285000.0,28.075337927869782,-1.5985416666666765,2712.410244794976,1.0,0.25214818120002747,35.0,0.6260740906000137,ppo_thermostatic,19.866389546051266
97,3285900.0,19.69841716849305,-2.2489843750000205,486.8200736052513,-1.0,1.0,18.0,1.0,ppo_thermostatic,28.075337927869782
98,3286800.0,27.844708488274534,-2.8999999999999773,2785.109913588087,1.0,0.24514515697956085,35.0,0.6225725784897804,ppo_thermostatic,19.69841716849305
99,3287700.0,19.5261085182334,-3.6061718749999727,454.97634019672637,-1.0,1.0,18.0,1.0,ppo_thermostatic,27.844708488274534
100,3288600.0,27.623143886535388,-4.356875000000002,2875.4594083208144,1.0,0.2474612146615982,35.0,0.6237306073307991,ppo_thermostatic,19.5261085182334
101,3289500.0,19.34508142577596,-5.054140625000002,421.5237096994975,-1.0,1.0,18.0,1.0,ppo_thermostatic,27.623143886535388
102,3290400.0,27.370599539280306,-5.600000000000023,2953.7016372005296,1.0,0.2398422211408615,35.0,0.6199211105704308,ppo_thermostatic,19.34508142577596
103,3291300.0,19.17919615025062,-5.929140625000002,390.8691967501088,-1.0,1.0,18.0,1.0,ppo_thermostatic,27.370599539280306
104,3292200.0,27.155070657053784,-6.106875000000002,3016.834253863156,1.0,0.23227351903915405,35.0,0.616136759519577,ppo_thermostatic,19.17919615025062
105,3293100.0,19.043661292560216,-6.231171874999973,365.825202532458,-1.0,1.0,18.0,1.0,ppo_thermostatic,27.155070657053784
106,3294000.0,26.960114653650464,-6.399999999999977,3062.8721782354655,1.0,0.22146227955818176,35.0,0.6107311397790909,ppo_thermostatic,19.043661292560216
107,3294900.0,18.914716131473767,-6.624003906249982,342.0005858426578,-1.0,1.0,18.0,1.0,ppo_thermostatic,26.960114653650464
108,3295800.0,26.77794413358106,-6.8485937500000205,3113.3477132983853,1.0,0.21463993191719055,35.0,0.6073199659585953,ppo_thermostatic,18.914716131473767
109,3296700.0,18.786684975776836,-7.073886718749975,318.3464173880027,-1.0,1.0,18.0,1.0,ppo_thermostatic,26.77794413358106
110,3297600.0,26.59478227079785,-7.300000000000011,3160.2177121324676,1.0,0.2066180408000946,35.0,0.6033090204000473,ppo_thermostatic,18.786684975776836
111,3298500.0,18.661541302483045,-7.560253906250011,295.22666487404274,-1.0,1.0,18.0,1.0,ppo_thermostatic,26.59478227079785
112,3299400.0,26.428781426512046,-7.850781250000011,3212.17404869351,1.0,0.20310336351394653,35.0,0.6015516817569733,ppo_thermostatic,18.661541302483045
113,3300300.0,18.54117125114641,-8.115917968750011,272.98901101471444,-1.0,1.0,18.0,1.0,ppo_thermostatic,26.428781426512046
114,3301200.0,26.275121046339393,-8.300000000000011,3256.9245114224,1.0,0.19876918196678162,35.0,0.5993845909833908,ppo_thermostatic,18.54117125114641
115,3302100.0,18.438096842893287,-8.306249999999977,253.94933515813858,-1.0,1.0,18.0,1.0,ppo_thermostatic,26.275121046339393
116,3303000.0,26.145582529227113,-8.149999999999977,3284.1531667359386,1.0,0.1915091723203659,35.0,0.595754586160183,ppo_thermostatic,18.438096842893287
117,3303900.0,18.35768359727865,-7.943750000000023,239.09912856992227,-1.0,1.0,18.0,1.0,ppo_thermostatic,26.145582529227113
118,3304800.0,26.044103803341784,-7.800000000000011,3309.4085665222256,1.0,0.1873370110988617,35.0,0.5936685055494308,ppo_thermostatic,18.35768359727865
119,3305700.0,18.27989709261618,-7.725000000000023,224.73449580434087,-1.0,1.0,18.0,1.0,ppo_thermostatic,26.044103803341784
120,3306600.0,25.950733573653565,-7.649999999999977,3346.521663987806,1.0,0.1883925199508667,35.0,0.5941962599754333,ppo_thermostatic,18.27989709261618
121,3307500.0,18.202823348179436,-7.574999999999989,210.50193837984423,-1.0,1.0,18.0,1.0,ppo_thermostatic,25.950733573653565
122,3308400.0,25.89112330877674,-7.5,3366.8864522650974,1.0,0.1879025250673294,35.0,0.5939512625336647,ppo_thermostatic,18.202823348179436
123,3309300.0,18.223439641677658,-7.425000000000011,214.30995112234368,-1.0,1.0,18.0,1.0,ppo_thermostatic,25.89112330877674
