step,sim_time_sec,t_zone_c,t_amb_c,p_total_w,a0,a1,t_supply_cmd_c,fan_cmd_u,controller_source,prev_t_zone_c
0,261000.0,26.861723502186976,-22.75,5211.253409605777,1.0,1.0,35.0,1.0,emergency,16.117025771219744
1,261900.0,21.7912877319701,-23.025000000000006,2522.5432408464194,-0.107267826795578,1.0,25.588223472237587,1.0,winter,26.861723502186976
2,262800.0,23.277944180787244,-23.30000000000001,3388.5475282537705,0.23282182216644287,1.0,28.478985488414764,1.0,winter,21.7912877319701
3,263700.0,22.81962523577789,-23.57499999999999,3241.7470314107027,0.15132872760295868,1.0,27.78629418462515,1.0,winter,23.277944180787244
4,264600.0,22.91309185738305,-23.849999999999994,3372.8385598375216,0.18763849139213562,1.0,28.094927176833153,1.0,winter,22.81962523577789
5,265500.0,22.854872696375935,-24.125,3410.4983681443855,0.1882735788822174,1.0,28.100325420498848,1.0,winter,22.91309185738305
6,266400.0,22.849130158173693,-24.400000000000006,3467.951300334699,0.19882875680923462,1.0,28.190044432878494,1.0,winter,22.854872696375935
7,267300.0,22.772500365848543,-24.3828125,3478.7681491361786,0.19212216138839722,1.0,28.133038371801376,1.0,winter,22.849130158173693
8,268200.0,22.793996890950268,-23.98750000000001,3519.1285198334763,0.2025722861289978,1.0,28.22186443209648,1.0,winter,22.772500365848543
9,269100.0,22.790573713561002,-23.5234375,3533.9402345931985,0.20519208908081055,1.0,28.24413275718689,1.0,winter,22.793996890950268
10,270000.0,22.78936421747295,-23.30000000000001,3551.846818949766,0.20864251255989075,1.0,28.27346135675907,1.0,winter,22.790573713561002
11,270900.0,22.803789776668168,-23.30000000000001,3589.680453811618,0.2177208960056305,1.0,28.35062761604786,1.0,winter,22.78936421747295
12,271800.0,22.772818044459086,-23.30000000000001,3620.0231472684745,0.22001096606254578,1.0,28.37009321153164,1.0,winter,22.803789776668168
13,272700.0,22.74293926721964,-23.30000000000001,3659.453221704385,0.22414922714233398,1.0,28.40526843070984,1.0,winter,22.772818044459086
14,273600.0,22.710542017657872,-23.30000000000001,3694.801908451766,0.22719645500183105,1.0,28.431169867515564,1.0,winter,22.74293926721964
15,274500.0,22.809253060430876,-23.30000000000001,3787.6130129584844,0.2566402852535248,1.0,28.68144242465496,1.0,winter,22.710542017657872
16,275400.0,22.74371681754434,-23.30000000000001,3789.018226100746,0.24928182363510132,1.0,28.61889550089836,1.0,winter,22.809253060430876
17,276300.0,22.718570875965327,-23.30000000000001,3813.2747840348993,0.25103577971458435,1.0,28.633804127573967,1.0,winter,22.74371681754434
18,277200.0,22.678667161967496,-23.30000000000001,3828.3418489952287,0.24929013848304749,1.0,28.618966177105904,1.0,winter,22.718570875965327
19,278100.0,22.589064495499372,-23.30000000000001,3816.906721692134,0.23662331700325012,1.0,28.511298194527626,1.0,winter,22.678667161967496
20,279000.0,22.563199470380596,-23.30000000000001,3836.6852027311393,0.23741698265075684,1.0,28.518044352531433,1.0,winter,22.589064495499372
21,279900.0,22.519974927092903,-23.30000000000001,3843.6454834508054,0.23371151089668274,1.0,28.486547842621803,1.0,winter,22.563199470380596
22,280800.0,22.478909797950678,-23.30000000000001,3851.5071101518033,0.23042723536491394,1.0,28.45863150060177,1.0,winter,22.519974927092903
23,281700.0,22.460267571481893,-23.30000000000001,3873.528615402478,0.23248443007469177,1.0,28.47611765563488,1.0,winter,22.478909797950678
24,282600.0,22.40180545019325,-23.30000000000001,3879.5864702788344,0.2267993688583374,1.0,28.427794635295868,1.0,winter,22.460267571481893
25,283500.0,22.34887125838702,-23.30000000000001,3891.4417970397276,0.22286945581436157,1.0,28.394390374422073,1.0,winter,22.40180545019325
26,284400.0,22.29760976934631,-23.30000000000001,3898.64198455988,0.2182421088218689,1.0,28.355057924985886,1.0,winter,22.34887125838702
27,285300.0,22.246966513916107,-23.386413043478257,3890.5427017737297,0.210757315158844,1.0,28.291437178850174,1.0,winter,22.29760976934631
28,286200.0,22.240427543119836,-23.580434782608705,3867.7751240649004,0.20565152168273926,1.0,28.248037934303284,1.0,winter,22.246966513916107
29,287100.0,22.257290856584802,-23.78423913043477,3818.5158421639426,0.19822731614112854,1.0,28.184932187199593,1.0,winter,22.240427543119836
30,288000.0,22.33005213327391,-23.900000000000006,3727.353579131784,0.18935978412628174,1.0,28.109558165073395,1.0,winter,22.257290856584802
31,288900.0,22.79224461894853,-23.863275074110675,3317.983304758605,0.16539183259010315,1.0,27.905830577015877,1.0,winter,22.33005213327391
32,289800.0,22.853188863856758,-23.67126976284584,3121.427211293998,0.13488508760929108,1.0,27.646523244678974,1.0,winter,22.79224461894853
33,290700.0,22.97584356970998,-23.318629570158095,2989.874355146177,0.12408711016178131,1.0,27.55474043637514,1.0,winter,22.853188863856758
34,291600.0,23.06793334348879,-22.80000000000001,2855.2515827010657,0.10911950469017029,1.0,27.427515789866447,1.0,winter,22.97584356970998
35,292500.0,23.05424492237711,-22.1633877840909,2664.2566156704115,0.07094098627567291,1.0,27.10299838334322,1.0,winter,23.06793334348879
36,293400.0,23.165586114612836,-21.472443181818193,2526.6201944518957,0.05768445134162903,1.0,26.990317836403847,1.0,winter,23.05424492237711
37,294300.0,23.2236996426426,-20.745276988636363,2337.8899004020177,0.03879282623529434,0.9601749181747437,26.829739023000002,0.9800874590873718,winter,23.165586114612836
38,295200.0,23.304934390620815,-20.0,2104.0754770283434,0.019315391778945923,0.8934204578399658,26.66418083012104,0.9467102289199829,winter,23.2236996426426
39,296100.0,23.17712099227208,-19.15486505681818,1752.4038166329208,-0.038072988390922546,0.7689198851585388,26.17637959867716,0.8844599425792694,winter,23.304934390620815
40,297000.0,23.258429967828192,-18.219602272727286,1532.0437809100833,-0.055387675762176514,0.6770378351211548,26.0292047560215,0.8385189175605774,winter,23.17712099227208
41,297900.0,23.32132726798818,-17.34953835227273,1331.3020903133147,-0.0779365599155426,0.6038962006568909,25.837539240717888,0.8019481003284454,winter,23.258429967828192
42,298800.0,23.441313731092464,-16.69999999999999,1133.7347398810655,-0.0978475958108902,0.5390462875366211,25.668295435607433,0.7695231437683105,winter,23.32132726798818
43,299700.0,23.474458759146273,-16.373070790816314,906.5660809978141,-0.1346805840730667,0.45175835490226746,25.355215035378933,0.7258791774511337,winter,23.441313731092464
44,300600.0,23.57932544667443,-16.265688775510228,747.1982008539613,-0.15317893028259277,0.3845186233520508,25.19797909259796,0.6922593116760254,winter,23.474458759146273
45,301500.0,23.677147614512535,-16.225462372448987,605.8686078456711,-0.17244818806648254,0.3289322555065155,25.0341904014349,0.6644661277532578,winter,23.57932544667443
46,302400.0,23.79208384077475,-16.100000000000023,475.51611895206804,-0.189906045794487,0.27827000617980957,24.88579861074686,0.6391350030899048,winter,23.677147614512535
47,303300.0,23.899155373123392,-15.867091836734687,334.96830171252583,-0.2139255553483963,0.22549152374267578,24.68163277953863,0.6127457618713379,winter,23.79208384077475
48,304200.0,24.038672937182866,-15.60612244897959,206.38490823272227,-0.2333882451057434,0.16909942030906677,24.51619991660118,0.5845497101545334,winter,23.899155373123392
49,305100.0,24.173725528161924,-15.317091836734676,79.64323959621565,-0.25622308254241943,0.10528174042701721,24.322103798389435,0.5526408702135086,winter,24.038672937182866
50,306000.0,24.293056559594902,-15.0,39.87776562728611,-0.28152456879615784,0.012654881924390793,24.10704116523266,0.5063274409621954,winter,24.173725528161924
51,306900.0,24.28354949756988,-14.284750566893422,78.47779493667096,-0.3519814610481262,-0.11432233452796936,23.508157581090927,0.4428388327360153,winter,24.293056559594902
52,307800.0,24.424677162834655,-13.148790627362075,100.6500121001624,-0.3673294186592102,-0.11463147401809692,23.377699941396713,0.44268426299095154,winter,24.28354949756988
53,308700.0,24.528606297379042,-12.113435374149674,125.76379417693173,-0.3888070583343506,-0.10498318076133728,23.19514000415802,0.44750840961933136,winter,24.424677162834655
54,309600.0,24.599495305743403,-11.699999999999989,146.6544288996998,-0.40538594126701355,-0.08772304654121399,23.054219499230385,0.456138476729393,winter,24.528606297379042
55,310500.0,24.75371936105512,-11.840196078431347,144.24412842718183,-0.3776235580444336,-0.06423397362232208,23.290199756622314,0.46788301318883896,winter,24.599495305743403
56,311400.0,24.790075087084745,-12.094226579520694,154.16614337526258,-0.385417103767395,-0.059031229466199875,23.223954617977142,0.47048438526690006,winter,24.75371936105512
57,312300.0,24.843825300111632,-12.426143790849665,157.61993560261874,-0.38136908411979675,-0.05037501081824303,23.258362784981728,0.4748124945908785,winter,24.790075087084745
58,313200.0,24.87045367551798,-12.800000000000011,158.37958874933213,-0.3777128756046295,-0.04477274790406227,23.28944055736065,0.47761362604796886,winter,24.843825300111632
59,314100.0,24.971989792931083,-13.17941176470589,134.9175650627067,-0.33157309889793396,-0.032575663179159164,23.68162865936756,0.4837121684104204,winter,24.87045367551798
