step,sim_time_sec,t_zone_c,t_amb_c,p_total_w,a0,a1,t_supply_cmd_c,fan_cmd_u,controller_source,prev_t_zone_c
0,3198600.0,22.649149172535033,-4.6483258928571445,2175.7434928411576,0.7312444448471069,-0.30443692207336426,32.71557778120041,0.34778153896331787,ppo_thermostatic,17.5605729091929
1,3199500.0,22.47403490947039,-4.3237025669643,1951.3168347344747,0.19700177013874054,0.09016303718090057,28.174515046179295,0.5450815185904503,ppo_thermostatic,22.649149172535033
2,3200400.0,21.981575928390555,-4.0,1751.018309425365,0.04146242141723633,0.1409488320350647,26.85243058204651,0.5704744160175323,ppo_thermostatic,22.47403490947039
3,3201300.0,21.80215887439209,-3.6260044642856997,1704.789571209085,0.03153625875711441,0.09223005175590515,26.768058199435472,0.5461150258779526,ppo_thermostatic,21.981575928390555
4,3202200.0,21.78716338693988,-3.225892857142867,1717.379524948044,0.05473536252975464,0.057538971304893494,26.965250581502914,0.5287694856524467,ppo_thermostatic,21.80215887439209
5,3203100.0,21.804209181189663,-2.9128348214285893,1734.1988684575667,0.07060563564300537,0.04532225430011749,27.100147902965546,0.5226611271500587,ppo_thermostatic,21.78716338693988
6,3204000.0,21.824427808643463,-2.8000000000000114,1752.1579613807455,0.08091758191585541,0.04353972524404526,27.18779944628477,0.5217698626220226,ppo_thermostatic,21.804209181189663
7,3204900.0,21.848033226984683,-2.8249999999999886,1777.989228572503,0.0883873850107193,0.051381442695856094,27.251292772591114,0.525690721347928,ppo_thermostatic,21.824427808643463
8,3205800.0,21.862674889808375,-2.8500000000000227,1801.2909059971662,0.09106451272964478,0.06357888132333755,27.27404835820198,0.5317894406616688,ppo_thermostatic,21.848033226984683
9,3206700.0,21.87719114837489,-2.875,1825.1842486271514,0.09346739947795868,0.07645576447248459,27.29447289556265,0.5382278822362423,ppo_thermostatic,21.862674889808375
10,3207600.0,21.89254260728518,-2.8999999999999773,1849.9533715394962,0.09585554897785187,0.08994948863983154,27.31477216631174,0.5449747443199158,ppo_thermostatic,21.87719114837489
