epoch,train_loss,train_rmse_temp,val_loss,val_rmse_temp,loss_c_prior_train,loss_c_prior_val,c_zon_j_per_k,czon_lr
1,0.9415423572063446,0.9662847518920898,0.13864539563655853,0.3723510801792145,2.6852831069845706e-08,2.1217510948190466e-07,420193.8125,0.001
2,0.929890364408493,0.957852303981781,0.13858076930046082,0.37226396799087524,3.4445520213921554e-07,8.451897883787751e-07,420386.5625,0.001
3,0.9556993246078491,0.9757524132728577,0.13851630687713623,0.3721768856048584,1.0828994163603056e-06,1.8990476746694185e-06,420579.4375,0.001
4,0.9887360334396362,0.9943473935127258,0.13845261931419373,0.3720906376838684,2.234531166322995e-06,3.359749825904146e-06,420770.65625,0.001
5,1.0287290215492249,1.0113871693611145,0.13838893175125122,0.3720041513442993,3.809409463428892e-06,5.238689482212067e-06,420962.65625,0.001
6,1.0242008864879608,1.0096980035305023,0.1383279711008072,0.371921181678772,5.75522608414758e-06,7.4341014624224044e-06,421147.0,0.001
7,0.8298697024583817,0.8437974154949188,0.13826705515384674,0.3718380630016327,8.081535725068534e-06,1.0018776265496854e-05,421331.875,0.001
8,0.9995072782039642,0.9994548261165619,0.13820840418338776,0.371757835149765,1.0701662631618092e-05,1.2885444448329508e-05,421510.5,0.001
9,0.9430183470249176,0.9675823748111725,0.138149231672287,0.3716767132282257,1.3700501312996494e-05,1.6150621377164498e-05,421691.3125,0.001
10,0.9128101766109467,0.944617748260498,0.13809166848659515,0.37159761786460876,1.7035979908541776e-05,1.9682469428516924e-05,421867.75,0.001
11,0.9224587082862854,0.9525559842586517,0.13803520798683167,0.3715198338031769,2.060872247966472e-05,2.3507760488428175e-05,422041.40625,0.001
12,1.0214070677757263,1.0085059106349945,0.13797782361507416,0.371440589427948,2.455184585414827e-05,2.7752845198847353e-05,422218.5,0.001
13,0.9199594557285309,0.9506633281707764,0.137920543551445,0.37136131525039673,2.890104951802641e-05,3.235008625779301e-05,422395.8125,0.001
14,0.9539709687232971,0.9749150276184082,0.13786406815052032,0.3712829649448395,3.353169631736819e-05,3.724126145243645e-05,422571.21875,0.001
15,0.9145629703998566,0.9463739991188049,0.13780660927295685,0.3712030351161957,3.856170405924786e-05,4.2601037421263754e-05,422750.375,0.001
16,0.9804078638553619,0.9901137053966522,0.13774903118610382,0.3711227774620056,4.402458944241516e-05,4.8334277380490676e-05,422930.4375,0.001
17,0.8976312577724457,0.9315648674964905,0.1376921385526657,0.37104326486587524,4.9876443881657906e-05,5.4387135605793446e-05,423108.96875,0.001
18,0.8987616002559662,0.9326902329921722,0.13763687014579773,0.370965838432312,5.597090057563037e-05,6.0618636780418456e-05,423283.0,0.001
19,1.0515781939029694,1.0181308686733246,0.1375829577445984,0.37089014053344727,6.216750625753775e-05,6.704739644192159e-05,423453.34375,0.001
