epoch,train_loss,train_rmse_temp,val_loss,val_rmse_temp,loss_c_prior_train,loss_c_prior_val,c_zon_j_per_k,czon_lr
1,0.787565141916275,0.8874403834342957,0.4855329692363739,0.6968019008636475,2.121669240295887e-08,1.6894864529604092e-07,480197.375,0.001
2,0.7864136397838593,0.8867864608764648,0.4854493737220764,0.6967418193817139,2.748356564552523e-07,6.757945811841637e-07,480394.75,0.001
3,0.785271167755127,0.8859796524047852,0.4853670299053192,0.6966825127601624,8.663519110996276e-07,1.5205378076643683e-06,480592.09375,0.001
4,0.7841485738754272,0.8854909241199493,0.48528584837913513,0.6966239213943481,1.7957654563360848e-06,2.7031783247366548e-06,480789.46875,0.001
5,0.7830071151256561,0.8835429549217224,0.4852060079574585,0.6965662240982056,3.061312327190535e-06,4.2158799260505475e-06,480986.4375,0.001
6,0.7818476557731628,0.8837371468544006,0.485127717256546,0.696509599685669,4.6557479436160065e-06,6.05865443503717e-06,481182.8125,0.001
7,0.7807314395904541,0.8835647106170654,0.4850504398345947,0.6964535713195801,6.584367383766221e-06,8.234638698922936e-06,481379.40625,0.001
8,0.7795847058296204,0.8829391002655029,0.48497462272644043,0.6963984966278076,8.841111593937967e-06,1.0737581760622561e-05,481575.5,0.001
9,0.7784706354141235,0.882254958152771,0.4848998785018921,0.6963441371917725,1.1427162462496199e-05,1.3579207006841898e-05,481771.71875,0.001
10,0.7773043215274811,0.8809252679347992,0.4848267436027527,0.6962907910346985,1.434096748198499e-05,1.6722828149795532e-05,481966.71875,0.001
11,0.7762370705604553,0.8804257214069366,0.4847545325756073,0.696238100528717,1.7574140656506643e-05,2.021060572587885e-05,482162.65625,0.001
12,0.7751260995864868,0.8800587058067322,0.48468342423439026,0.6961860656738281,2.1144443962839432e-05,2.4028486222960055e-05,482358.46875,0.001
13,0.7740178108215332,0.8792852461338043,0.48461371660232544,0.6961349248886108,2.504485019017011e-05,2.8166345146019012e-05,482554.0,0.001
14,0.7729112803936005,0.878887802362442,0.48454520106315613,0.6960846185684204,2.9259786970214918e-05,3.26218651025556e-05,482749.28125,0.001
15,0.7717968225479126,0.8779739737510681,0.48447802662849426,0.6960351467132568,3.379142071935348e-05,3.739273233804852e-05,482943.90625,0.001
16,0.7707017064094543,0.8778506219387054,0.4844121038913727,0.6959865093231201,3.8637439502053894e-05,4.247663673595525e-05,483138.40625,0.001
17,0.7696303725242615,0.8771289587020874,0.4843471944332123,0.6959385275840759,4.3808349801111035e-05,4.789767262991518e-05,483333.15625,0.001
18,0.7685560286045074,0.8766345083713531,0.484283447265625,0.695891261100769,4.9310561735183e-05,5.363021045923233e-05,483527.9375,0.001
19,0.7674492597579956,0.8757869303226471,0.4842211902141571,0.6958450078964233,5.511690687853843e-05,5.96572135691531e-05,483721.71875,0.001
20,0.7663927376270294,0.8754232823848724,0.4841598868370056,0.6957994103431702,6.12316835031379e-05,6.602058419957757e-05,483915.8125,0.001
21,0.7653130292892456,0.8739127516746521,0.4840999245643616,0.6957546472549438,6.765996658941731e-05,7.267382898135111e-05,484109.40625,0.001
22,0.7642470896244049,0.8739173412322998,0.48404109477996826,0.6957105994224548,7.440117769874632e-05,7.964641554281116e-05,484302.8125,0.001
23,0.7632028460502625,0.872844010591507,0.4839833974838257,0.6956672668457031,8.145379251800478e-05,8.693835115991533e-05,484496.40625,0.001
24,0.7621151208877563,0.8726756274700165,0.48392704129219055,0.6956248879432678,8.880758832674474e-05,9.45125357247889e-05,484688.90625,0.001
25,0.7610732614994049,0.871917724609375,0.48387181758880615,0.6955832242965698,9.646065882407129e-05,0.00010238372487947345,484881.4375,0.001
26,0.7600540816783905,0.8712620735168457,0.4838176369667053,0.6955421566963196,0.0001044302262016572,0.00011060982069466263,485074.5625,0.001
27,0.75898078083992,0.8707636594772339,0.4837647080421448,0.695501983165741,0.00011270549657638185,0.00011909128079423681,485266.53125,0.001
28,0.7579360604286194,0.8703699111938477,0.4837130606174469,0.6954626441001892,0.00012125449211453088,0.0001278428826481104,485458.03125,0.001
29,0.7568957507610321,0.8694104552268982,0.48366257548332214,0.6954240798950195,0.0001300834701396525,0.0001369047531625256,485649.09375,0.001
30,0.7558816969394684,0.8686326146125793,0.48361319303512573,0.6953862309455872,0.00013922272046329454,0.00014627687050960958,485840.40625,0.001
31,0.75483837723732,0.868776947259903,0.4835650622844696,0.6953492164611816,0.0001486604960518889,0.00015591163537465036,486030.90625,0.001
32,0.7538395822048187,0.8681962192058563,0.48351776599884033,0.6953126788139343,0.00015838398394407704,0.00016587821301072836,486221.84375,0.001
33,0.752819836139679,0.8675399124622345,0.48347172141075134,0.6952769756317139,0.0001684152812231332,0.00017612824740353972,486412.375,0.001
34,0.7518136501312256,0.8669252097606659,0.4834267795085907,0.6952419877052307,0.00017874194600153714,0.00018665948300622404,486602.84375,0.001
35,0.7508036196231842,0.8664465844631195,0.4833829700946808,0.6952077746391296,0.0001893496300908737,0.00019749649800360203,486792.9375,0.001
36,0.7497683465480804,0.8653015196323395,0.48334044218063354,0.6951743960380554,0.00020022231910843402,0.00020852909074164927,486981.6875,0.001
37,0.7488325536251068,0.8651160299777985,0.48329856991767883,0.6951414346694946,0.0002113853333867155,0.00021997466683387756,487172.1875,0.001
38,0.7477946877479553,0.8647028803825378,0.4832581579685211,0.6951094269752502,0.00022286473540589213,0.00023163891455624253,487360.96875,0.001
39,0.7468240559101105,0.8637562692165375,0.4832186698913574,0.6950779557228088,0.00023460412194253877,0.00024357471556868404,487550.0625,0.001
40,0.7458535730838776,0.8628319799900055,0.4831802546977997,0.6950472593307495,0.00024664501688675955,0.00025584083050489426,487739.375,0.001
41,0.7448633015155792,0.8628894686698914,0.4831429421901703,0.6950172781944275,0.000258971587754786,0.0002683770435396582,487928.0625,0.001
42,0.7438589632511139,0.861637681722641,0.4831067621707916,0.6949880719184875,0.0002715356968110427,0.00028111712890677154,488115.5,0.001
43,0.7428969442844391,0.8612939119338989,0.48307177424430847,0.6949595808982849,0.0002843494585249573,0.0002941526472568512,488303.03125,0.001
44,0.7419379353523254,0.8612510561943054,0.4830376207828522,0.6949316263198853,0.0002974586532218382,0.0003074501291848719,488490.59375,0.001
45,0.7409796416759491,0.8605813682079315,0.4830045700073242,0.6949044466018677,0.0003108465170953423,0.0003210757568012923,488678.0625,0.001
46,0.7400157153606415,0.8601399660110474,0.48297253251075745,0.6948779225349426,0.0003245289117330685,0.00033492696820758283,488865.09375,0.001
47,0.7390674352645874,0.8594235479831696,0.482941597700119,0.6948520541191101,0.00033845343568827957,0.000349070702213794,489052.0625,0.001
48,0.7381116151809692,0.8590486943721771,0.4829116463661194,0.6948269009590149,0.0003526524669723585,0.0003634705499280244,489238.5625,0.001
49,0.7371389269828796,0.8565155267715454,0.4828828275203705,0.6948025226593018,0.0003670883452286944,0.0003780501428991556,489423.90625,0.001
50,0.7362197935581207,0.857917994260788,0.4828548729419708,0.6947786211967468,0.0003817581746261567,0.00039295427268370986,489609.8125,0.001
51,0.7352485358715057,0.8573471009731293,0.48282819986343384,0.6947556138038635,0.0003966770746046677,0.0004080309299752116,489794.25,0.001
52,0.7343375384807587,0.856819748878479,0.4828023612499237,0.6947331428527832,0.00041186303133144975,0.0004234306688886136,489979.3125,0.001
53,0.7334198653697968,0.8560205101966858,0.48277747631073,0.6947112679481506,0.0004273538797860965,0.00043911562534049153,490164.5625,0.001
54,0.7325161099433899,0.8552868068218231,0.4827534258365631,0.694689929485321,0.0004431508423294872,0.00045516720274463296,490350.28125,0.001
55,0.7315697968006134,0.8545790016651154,0.4827304482460022,0.6946693658828735,0.000459193077404052,0.0004713412781711668,490534.84375,0.001
56,0.7306596338748932,0.8540374338626862,0.48270854353904724,0.6946493983268738,0.00047545862616971135,0.0004878398613072932,490719.375,0.001
57,0.7297219038009644,0.8541368246078491,0.4826875925064087,0.6946301460266113,0.0004919646016787738,0.0005044508725404739,490902.8125,0.001
58,0.7287828326225281,0.8527289628982544,0.48266783356666565,0.694611668586731,0.0005086017772555351,0.0005212528631091118,491084.875,0.001
59,0.7279327809810638,0.8530763387680054,0.48264873027801514,0.694593608379364,0.0005255598516669124,0.0005385071854107082,491268.6875,0.001
60,0.7270238399505615,0.8525128364562988,0.4826306700706482,0.6945762038230896,0.0005428622826002538,0.0005559524288401008,491451.96875,0.001
61,0.7261076271533966,0.8518103063106537,0.48261353373527527,0.6945593953132629,0.0005603319150395691,0.0005735844606533647,491634.3125,0.001
62,0.7252103686332703,0.8514493405818939,0.48259732127189636,0.6945432424545288,0.0005780325445812196,0.0005914453067816794,491816.375,0.001
63,0.7243517637252808,0.8487496078014374,0.48258206248283386,0.6945276856422424,0.0005960086127743125,0.00060967419994995,491999.25,0.001
64,0.7234471440315247,0.8503891825675964,0.48256775736808777,0.6945127248764038,0.0006142595666460693,0.0006280841771513224,492181.21875,0.001
65,0.7225648164749146,0.8492740094661713,0.48255428671836853,0.6944983601570129,0.0006327139271888882,0.000646670931018889,492362.84375,0.001
66,0.7216648459434509,0.8493382632732391,0.48254185914993286,0.6944846510887146,0.0006513440166600049,0.0006654795724898577,492543.46875,0.001
67,0.7208077907562256,0.8487473130226135,0.48253023624420166,0.6944714784622192,0.0006702446553390473,0.0006845577736385167,492724.46875,0.001
68,0.7199395000934601,0.8482751846313477,0.48251956701278687,0.6944589018821716,0.0006893904355820268,0.0007039055926725268,492905.375,0.001
69,0.7190852463245392,0.8475303947925568,0.4825097918510437,0.6944469213485718,0.0007088313286658376,0.0007235230877995491,493086.46875,0.001
70,0.7182064652442932,0.8470325469970703,0.4825008511543274,0.6944355368614197,0.0007284650928340852,0.0007433581631630659,493266.6875,0.001
71,0.7173779904842377,0.8467558324337006,0.4824928641319275,0.6944246888160706,0.000748419581213966,0.0007635141373611987,493447.875,0.001
72,0.7164896428585052,0.846114456653595,0.48248571157455444,0.6944144368171692,0.0007685639138799161,0.0007837261655367911,493627.4375,0.001
73,0.7156234979629517,0.8451306819915771,0.4824795126914978,0.6944048404693604,0.0007887883693911135,0.0008041481487452984,493806.21875,0.001
74,0.7148061096668243,0.8452750742435455,0.48247408866882324,0.6943956613540649,0.0008093301148619503,0.0008249423117376864,493986.03125,0.001
75,0.7139373123645782,0.8447752594947815,0.4824695885181427,0.6943871378898621,0.0008301355119328946,0.0008458355441689491,494164.5625,0.001
76,0.7131038904190063,0.8442029654979706,0.4824659526348114,0.6943792700767517,0.0008510938787367195,0.0008669339003972709,494343.125,0.001
77,0.7122739851474762,0.8435002863407135,0.48246315121650696,0.6943718194961548,0.0008722854545339942,0.0008883489645086229,494521.8125,0.001
78,0.7114304304122925,0.8423193097114563,0.48246124386787415,0.6943650245666504,0.0008937374223023653,0.0009099678136408329,494699.8125,0.001
79,0.7105959355831146,0.8425738215446472,0.4824601113796234,0.6943587064743042,0.0009153633727692068,0.0009317300864495337,494877.375,0.001
80,0.7097964286804199,0.8414825201034546,0.4824598431587219,0.694352924823761,0.0009372774220537394,0.0009538673330098391,495055.8125,0.001
81,0.7089614272117615,0.8416638076305389,0.4824603497982025,0.6943476796150208,0.0009594207513146102,0.0009761453256942332,495233.5,0.001
82,0.7081365585327148,0.8410316705703735,0.48246175050735474,0.6943430304527283,0.0009817630343604833,0.0009986201766878366,495410.6875,0.001
83,0.7073251903057098,0.840789407491684,0.4824639856815338,0.6943389177322388,0.001004302001092583,0.0010213508503511548,495587.875,0.001
84,0.7064951360225677,0.8397984206676483,0.48246699571609497,0.6943353414535522,0.0010270355269312859,0.001044214004650712,495763.96875,0.001
85,0.7057071924209595,0.839512437582016,0.482470840215683,0.6943322420120239,0.0010499927448108792,0.0010673926444724202,495940.71875,0.001
86,0.7049042582511902,0.8391666114330292,0.48247548937797546,0.6943296790122986,0.001073234947398305,0.00109076255466789,496117.3125,0.001
87,0.7040867805480957,0.8383937180042267,0.4824809432029724,0.694327712059021,0.0010966050322167575,0.0011142583098262548,496293.0625,0.001
88,0.7033065855503082,0.837763249874115,0.48248720169067383,0.6943262219429016,0.0011202272144146264,0.0011381331132724881,496469.25,0.001
89,0.7025021910667419,0.8379134237766266,0.4824942350387573,0.6943252086639404,0.0011441007372923195,0.001162066007964313,496644.78125,0.001
90,0.701713889837265,0.8372847735881805,0.4825020432472229,0.6943247318267822,0.0011681285686790943,0.001186247798614204,496820.15625,0.001
91,0.7009234726428986,0.8368350267410278,0.48251062631607056,0.694324791431427,0.0011923399288207293,0.0012106786016374826,496995.25,0.001
92,0.7001177370548248,0.8361740410327911,0.4825199842453003,0.69432532787323,0.0012167329550720751,0.001235157367773354,497169.15625,0.001
93,0.6993802487850189,0.8354588449001312,0.4825301468372345,0.6943264007568359,0.0012414072407409549,0.0012600842164829373,497344.6875,0.001
94,0.6985914707183838,0.8352362215518951,0.48254114389419556,0.6943279504776001,0.0012663626694120467,0.0012851234059780836,497519.40625,0.001
95,0.6978159546852112,0.8344732820987701,0.4825528562068939,0.6943300366401672,0.001291463733650744,0.0013104088138788939,497693.8125,0.001
96,0.6970075368881226,0.8345919251441956,0.48256516456604004,0.6943325400352478,0.0013166723074391484,0.0013355921255424619,497866.4375,0.001
97,0.6962873339653015,0.8297848999500275,0.48257845640182495,0.6943356394767761,0.0013420554460026324,0.0013612965121865273,498040.78125,0.001
98,0.6955028772354126,0.8334607481956482,0.48259237408638,0.6943391561508179,0.001367750868666917,0.0013871038099750876,498214.0,0.001
99,0.6947104036808014,0.8326278328895569,0.4826069176197052,0.6943431496620178,0.0013934762100689113,0.001412866753526032,498385.625,0.001
100,0.6939869225025177,0.8327434659004211,0.4826223850250244,0.6943476796150208,0.0014194059185683727,0.0014390837168321013,498558.53125,0.001
101,0.693221241235733,0.8318400979042053,0.48263847827911377,0.6943526268005371,0.0014456468052230775,0.0014653956750407815,498730.65625,0.001
102,0.6924811005592346,0.831816703081131,0.4826553165912628,0.6943581104278564,0.001472018368076533,0.0014919460518285632,498903.0,0.001
103,0.6917335689067841,0.8311735093593597,0.48267295956611633,0.6943640112876892,0.0014986282913014293,0.0015187347307801247,499075.125,0.001
104,0.6909818053245544,0.8295260369777679,0.48269128799438477,0.694370448589325,0.0015254392637871206,0.0015456868568435311,499246.78125,0.001
