epoch,train_loss,val_loss,val_multi,rmse_temp,mae_temp,mse_power,r2_temp,val_rollout_windows,val_rollout_h2_rmse,val_rollout_h4_rmse,val_rollout_rmse,val_rollout_weighted_rmse,val_rollout_h2_weight,val_rollout_h4_weight
1,4.749889048583367,0.21180064313941532,0.3065550790892707,0.23515145908430674,0.18939541280269623,0.02372598834335804,0.9536717506057495,256.0,0.41361614078546916,0.6518041504267621,0.5327101456061156,0.5327101456061156,0.5,0.5
2,0.34127358610139175,0.15119500872161654,0.22142628083626428,0.19982742374114273,0.1528337597846985,0.011620411649346352,0.9665450240223264,256.0,0.348466639661961,0.5645280201735731,0.45649732991776704,0.45649732991776704,0.5,0.5
3,0.28389065055286183,0.2217686739232805,0.3301156461238861,0.23823440591588385,0.1955011934041977,0.008035089820623398,0.952449017650331,256.0,0.42222625284117626,0.6948925502830888,0.5585594015621326,0.5585594015621326,0.5,0.5
4,0.26922690736896854,0.15234598848554823,0.22983506487475502,0.18891326436918177,0.16127006709575653,0.005506506189703941,0.9700997086799065,256.0,0.3304979972021871,0.563155701418156,0.4468268493101715,0.4468268493101715,0.5,0.5
5,0.2758731379666749,0.16155814793374804,0.2413500795761744,0.20370843434098845,0.15928532183170319,0.004256640560925007,0.9652328947854785,256.0,0.35941525846044553,0.5979283662042091,0.4786718123323273,0.4786718123323273,0.5,0.5
6,0.2585345436544979,0.2098132289118237,0.31387968361377716,0.23036173582778774,0.17589706182479858,0.0038397382013499737,0.9555398216404326,256.0,0.4092040259822218,0.676431454106177,0.5428177400441994,0.5428177400441994,0.5,0.5
7,0.24120951115208514,0.12196110934019089,0.18124339481194815,0.17612420640378135,0.1464894562959671,0.0036830296739935875,0.9740110563598242,256.0,0.30239803347828226,0.5085345316992753,0.4054662825887788,0.4054662825887788,0.5,0.5
8,0.25023624936447425,0.10011126763290829,0.14723994665675694,0.1639114376970857,0.1217959001660347,0.00369276013225317,0.977490334446805,256.0,0.2804224005592466,0.4638883198782371,0.37215536021874185,0.37215536021874185,0.5,0.5
9,0.22957787838052301,0.14346018350786632,0.21530456675423515,0.19088554594825713,0.14693376421928406,0.003408462041988969,0.9694721233288264,256.0,0.3368482815335608,0.5676066264619124,0.45222745399773656,0.45222745399773656,0.5,0.5
10,0.22393903815571,0.12372964951727125,0.18777472774187723,0.17099754729380248,0.14302530884742737,0.00329948659054935,0.9755020184456011,256.0,0.29667362100635725,0.5192790215022711,0.40797632125431416,0.40797632125431416,0.5,0.5
11,0.2147153642247705,0.12480373846160041,0.187022113137775,0.17857752964121798,0.13706694543361664,0.0032616297248750925,0.9732819889063116,256.0,0.3131006891419886,0.5294804398530325,0.42129056449751057,0.42129056449751057,0.5,0.5
12,0.20934700768660097,0.16476164013147354,0.24780364665720198,0.2026670502172258,0.15240871906280518,0.003255504881963134,0.9655874539797156,256.0,0.3591324735421042,0.6032535856017073,0.48119302957190574,0.48119302957190574,0.5,0.5
13,0.2070170261842363,0.1115708744360341,0.16713689102066887,0.1676625243752255,0.13716858625411987,0.003034282708540559,0.9764482860074593,256.0,0.2889461357820114,0.4956650911851977,0.39230561348360454,0.39230561348360454,0.5,0.5
14,0.2057006799561136,0.11413686763909128,0.1716087907552719,0.17070451906102005,0.13418889045715332,0.0030573145486414433,0.9755859089641292,256.0,0.2999019114951813,0.5127453566645165,0.4063236340798489,0.4063236340798489,0.5,0.5
15,0.19692150733488448,0.06894146899382274,0.10005750465724203,0.13866650208286152,0.10213533043861389,0.0029240658041089773,0.9838900706070407,256.0,0.22990826439027937,0.3845143401303898,0.3072113022603346,0.3072113022603346,0.5,0.5
16,0.17607828624108257,0.11842094403174189,0.17662808547417322,0.17350472144194262,0.13147902488708496,0.002806936390697956,0.97477837170662,256.0,0.3032039703191539,0.5062569593825229,0.4047304648508384,0.4047304648508384,0.5,0.5
17,0.16815378757960656,0.10403568380408817,0.1556935119960043,0.16163647281739846,0.13231301307678223,0.002632891060784459,0.9781108324337167,256.0,0.27895026700759734,0.4742312261147699,0.37659074656118363,0.37659074656118363,0.5,0.5
18,0.17295379827127738,0.2212091303533978,0.34156689710087246,0.22412376152894206,0.1978926956653595,0.002403693273663521,0.9579150972806985,256.0,0.4051826866810392,0.710269676123293,0.5577261814021661,0.5577261814021661,0.5,0.5
19,0.20225819090709968,0.1920146495103836,0.29427339136600494,0.21052121658957237,0.17816413938999176,0.0022504893131554127,0.962868520257342,256.0,0.37766717341420036,0.6526758345757318,0.515171503994966,0.515171503994966,0.5,0.5
20,0.1905910197426291,0.33694369263119167,0.5163252287440829,0.27954374753458333,0.2287701964378357,0.002090527443215251,0.9345288337014599,256.0,0.5074023804746461,0.865340136219698,0.686371258347172,0.686371258347172,0.5,0.5
21,0.19306480796898112,0.06387702127297719,0.09261224915583928,0.13328612250469762,0.09789151698350906,0.002122054109349847,0.9851159742253768,256.0,0.22107217342573354,0.3677295769717841,0.2944008751987588,0.2944008751987588,0.5,0.5
22,0.1690177101203624,0.06433165363139576,0.09461597436004215,0.1302478221777138,0.10024026036262512,0.0017320349579676986,0.985786813386958,256.0,0.21531996249630347,0.3683118108506669,0.2918158866734852,0.2918158866734852,0.5,0.5
23,0.15462478984366446,0.10076961624953482,0.15024725099404654,0.16054131574820923,0.12177382409572601,0.0017090360634028912,0.9784064441550687,256.0,0.2787264578750196,0.46892583920457326,0.37382614853979645,0.37382614853979645,0.5,0.5
24,0.16642199840177507,0.15680407732725143,0.23623202410009173,0.19691007506047573,0.14853830635547638,0.0017600684659555554,0.9675147365848538,256.0,0.34947977832961424,0.5850985083605996,0.46728914334510696,0.46728914334510696,0.5,0.5
25,0.17026427388191223,0.11210732989841038,0.16691213763422436,0.1704952333667076,0.1295233517885208,0.001570907887071371,0.9756457352701712,256.0,0.2982512616934214,0.49633339410711935,0.39729232790027036,0.39729232790027036,0.5,0.5
26,0.16743045957649455,0.11354802714453803,0.16985987623532614,0.17015286891510026,0.14058813452720642,0.0015096517745405436,0.975743446894866,256.0,0.2950759691173861,0.5017800393514987,0.3984280042344424,0.3984280042344424,0.5,0.5
27,0.16314445896183744,0.12770703062415123,0.1905457153916359,0.18042116074401285,0.1352924108505249,0.0015482822200283408,0.9727274675654635,256.0,0.31680256636846943,0.5249624934969233,0.42088252993269637,0.42088252993269637,0.5,0.5
28,0.1620881728389684,0.13054170376724666,0.19449813001685673,0.18383676596977638,0.13732260465621948,0.0015921397134661674,0.9716850849009442,256.0,0.3230809270955224,0.5351646102287004,0.4291227686621114,0.4291227686621114,0.5,0.5
29,0.1602300016538185,0.10710762937863667,0.15924095114072165,0.16663195141710166,0.1328774392604828,0.0014858869835734367,0.9767369267466228,256.0,0.28742734657983693,0.4836001672007071,0.385513756890272,0.385513756890272,0.5,0.5
30,0.1606211645857376,0.12107408708996242,0.17974580410454008,0.1775837039532666,0.12956690788269043,0.0014304214855656028,0.9735785451121939,256.0,0.31047607065331445,0.5128059614970332,0.4116410160751738,0.4116410160751738,0.5,0.5
31,0.15771268724518664,0.1647728035847346,0.24602272278732723,0.2056704187814742,0.15210755169391632,0.001368087949231267,0.9645599622403335,256.0,0.3646468232392235,0.6020471081164281,0.4833469656778258,0.4833469656778258,0.5,0.5
32,0.15681083127856255,0.11243832690848245,0.16599911368555492,0.1733961846569859,0.13576312363147736,0.0013547519920393825,0.9748099171915147,256.0,0.2994473275256727,0.496312525877607,0.39787992670163985,0.39787992670163985,0.5,0.5
33,0.15325038014527628,0.13547498650021023,0.19957580748531553,0.1908080718878921,0.14038322865962982,0.00125206692609936,0.9694968977698061,256.0,0.3337569086387632,0.5419866555550067,0.43787178209688493,0.43787178209688493,0.5,0.5
34,0.15417093619265976,0.1554398259354962,0.22957912584145865,0.20295825863594502,0.1487065702676773,0.001279071089811623,0.9654884875185437,256.0,0.356892391734039,0.5788484785724503,0.46787043515324467,0.46787043515324467,0.5,0.5
35,0.15413140045369372,0.1310678083035681,0.1946859508752823,0.1843301734742585,0.1485537886619568,0.0011981946881860495,0.971532890096752,256.0,0.32057597810571153,0.5329091819244071,0.42674258001505927,0.42674258001505927,0.5,0.5
36,0.1583558639840168,0.16900819622808033,0.24826646678977543,0.2131998808192158,0.15909969806671143,0.0011916568037122488,0.9619175869717461,256.0,0.3738237804580054,0.6003012408454428,0.4870625106517241,0.4870625106517241,0.5,0.5
37,0.15383398204165347,0.1447235532104969,0.21145874013503393,0.19841750149315596,0.14740827679634094,0.0010854221181944013,0.9670154549063731,256.0,0.3457757136914141,0.5514646332940422,0.4486201734927281,0.4486201734927281,0.5,0.5
38,0.14856067212188945,0.1374865865541829,0.20240331606732476,0.1919279384895918,0.14976580440998077,0.001101326197385788,0.9691377966941945,256.0,0.3338667123919836,0.5436334948395126,0.4387501036157481,0.4387501036157481,0.5,0.5
39,0.14834291608456304,0.20326684912045798,0.2979337092902925,0.2334383607182089,0.1682581752538681,0.001052281353622675,0.954344304163421,256.0,0.41123957428937147,0.6539944115306303,0.5326169929100009,0.5326169929100009,0.5,0.5
40,0.1454761917976772,0.16182931429809994,0.23565222405725056,0.21214580609412795,0.15274851024150848,0.0010310825891792774,0.9622932202568286,256.0,0.37101960356056884,0.5885311961483899,0.47977539985447937,0.47977539985447937,0.5,0.5
41,0.15288961174733498,0.16574329055017895,0.2404126235180431,0.21460794165778002,0.15929855406284332,0.0010001972550526261,0.9614129039757308,256.0,0.37272225236360684,0.5889657353963834,0.4808439938799951,0.4808439938799951,0.5,0.5
42,0.14614018293864586,0.16593389792574775,0.23801101164685357,0.21830656883729546,0.15492463111877441,0.0009030012879520655,0.9600713957493086,256.0,0.3779950927673525,0.5855490005020882,0.4817720466347204,0.4817720466347204,0.5,0.5
43,0.14395901955225887,0.2693178016278479,0.38102155261569554,0.2828020741980496,0.2003684937953949,0.0009515911224298179,0.9329936897334951,256.0,0.48711467022740335,0.7347674864826547,0.610941078355029,0.610941078355029,0.5,0.5
44,0.14779089336447856,0.15596512912048233,0.2246559883157412,0.21030147349287623,0.1587580442428589,0.0008910123142413795,0.9629459948462018,256.0,0.36280309755753165,0.5681053065430837,0.46545420205030763,0.46545420205030763,0.5,0.5
