category,variant,metric,value,unit,source
inverse_calibration,best_temp_alignment,baseline_rmse,0.3738374710083008,C,outputs/surrogate_v35_inverse_boptest_15min_block13_closed_loop/calibration_summary_boptest_v35.json
inverse_calibration,best_temp_alignment,calibrated_rmse,0.23189611732959747,C,outputs/surrogate_v35_inverse_boptest_15min_block13_closed_loop/calibration_summary_boptest_v35.json
inverse_calibration,best_temp_alignment,improvement_rmse_pct,37.96873365740044,pct,outputs/surrogate_v35_inverse_boptest_15min_block13_closed_loop/calibration_summary_boptest_v35.json
inverse_calibration,best_temp_alignment,c_zon_final,441269.40625,J_per_K,outputs/surrogate_v35_inverse_boptest_15min_block13_closed_loop/calibration_summary_boptest_v35.json
downstream_backend,power_head_only,baseline_power_mae,807.828857421875,W,outputs/surrogate_v35_inverse_boptest_15min_power_head_only/calibration_summary_boptest_v35.json
downstream_backend,power_head_only,calibrated_power_mae,482.0337829589844,W,outputs/surrogate_v35_inverse_boptest_15min_power_head_only/calibration_summary_boptest_v35.json
downstream_backend,power_head_only,c_zon_final,441269.40625,J_per_K,outputs/surrogate_v35_inverse_boptest_15min_power_head_only/calibration_summary_boptest_v35.json
prepared_rollout,raw_v35,one_step_rmse,1.4908158757481413,C,outputs/surrogate_v35_rollout_prepared_15min_power_head_only/v35_prepared_compare_summary.csv
prepared_rollout,raw_v35,rollout_24h_rmse,1.466468866196516,C,outputs/surrogate_v35_rollout_prepared_15min_power_head_only/v35_prepared_compare_summary.csv
prepared_rollout,raw_v35,mean_episode_power_rmse,1223.810790120694,W,outputs/surrogate_v35_rollout_prepared_15min_power_head_only/v35_prepared_compare_summary.csv
prepared_rollout,calibrated_v35,one_step_rmse,0.6546185440261169,C,outputs/surrogate_v35_rollout_prepared_15min_power_head_only/v35_prepared_compare_summary.csv
prepared_rollout,calibrated_v35,rollout_24h_rmse,0.64407034617221,C,outputs/surrogate_v35_rollout_prepared_15min_power_head_only/v35_prepared_compare_summary.csv
prepared_rollout,calibrated_v35,mean_episode_power_rmse,687.5689609668652,W,outputs/surrogate_v35_rollout_prepared_15min_power_head_only/v35_prepared_compare_summary.csv
closed_loop_transfer,peak_heat_window,live_m_s,1.046450541612129,score,outputs/block13_closed_loop_transfer_no_delta_t_powerlog_tzone/summary.csv
closed_loop_transfer,peak_heat_window,temp_rmse,4.3199246804867295,C,outputs/block13_closed_loop_transfer_no_delta_t_powerlog_tzone/summary.csv
closed_loop_transfer,peak_heat_window,power_rmse,1453.0946056847265,W,outputs/block13_closed_loop_transfer_no_delta_t_powerlog_tzone/summary.csv
closed_loop_transfer,typical_heat_window,live_m_s,1.1019814764225577,score,outputs/block13_closed_loop_transfer_no_delta_t_powerlog_tzone/summary.csv
closed_loop_transfer,typical_heat_window,temp_rmse,4.401375481286122,C,outputs/block13_closed_loop_transfer_no_delta_t_powerlog_tzone/summary.csv
closed_loop_transfer,typical_heat_window,power_rmse,1592.6295593704622,W,outputs/block13_closed_loop_transfer_no_delta_t_powerlog_tzone/summary.csv
divergence,peak_heat_window,first_divergence_step,1,step,outputs/block13_obs_gap_no_delta_t_powerlog_tzone/first_divergence_summary.csv
divergence,peak_heat_window,top_feature_abs_drift,2.0,norm,outputs/block13_obs_gap_no_delta_t_powerlog_tzone/first_divergence_summary.csv
divergence,typical_heat_window,first_divergence_step,1,step,outputs/block13_obs_gap_no_delta_t_powerlog_tzone/first_divergence_summary.csv
divergence,typical_heat_window,top_feature_abs_drift,2.0,norm,outputs/block13_obs_gap_no_delta_t_powerlog_tzone/first_divergence_summary.csv
