condition,step_index,time_s,t_zone_c,t_supply_c,t_set_heat_c,t_set_cool_c,heat_power_w,fan_power_w,pump_power_w,reaCOP,action_json
baseline_no_override,0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
baseline_no_override,1,900.0,19.845083876940578,37.182591287384696,0.0,0.0,15423.581412690271,784.0875336472259,122.40223855340085,0.0,{}
baseline_no_override,2,1800.0,19.742265182271638,37.09484762709627,0.0,0.0,10687.428966134008,784.0876152698368,119.65987484899556,0.0,{}
baseline_no_override,3,2700.0,19.662788595935353,37.06028162805569,0.0,0.0,7519.16407915948,784.0876152698163,117.92351320523657,0.0,{}
baseline_no_override,4,3600.0,19.59472678743731,37.03894028353261,0.0,0.0,6646.972929568314,784.087615269877,117.48749863360386,0.0,{}
baseline_no_override,5,4500.0,19.536883449893537,37.02835034464539,0.0,0.0,6594.18079692032,784.0876152698698,117.4976512927013,0.0,{}
baseline_no_override,6,5400.0,19.48751545335989,37.02073704014475,0.0,0.0,6801.8809073022385,784.0876152699018,117.63635117548255,0.0,{}
baseline_no_override,7,6300.0,19.444701378984803,37.011300248904035,0.0,0.0,7068.618247108099,784.0876152698761,117.80146987479596,0.0,{}
baseline_no_override,8,7200.0,19.40687224052715,36.99749953234095,0.0,0.0,7319.195337193383,784.087615269869,117.9612162153306,0.0,{}
low_supply_override,0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""dh_oveTSupSetHea_activate"": 1, ""dh_oveTSupSetHea_u"": 291.15, ""ovePum_activate"": 1, ""ovePum_u"": 0.0, ""oveTSupSetAir_activate"": 1, ""oveTSupSetAir_u"": 288.15, ""oveTZonSet_activate"": 1, ""oveTZonSet_u"": 294.15, ""oveValCoi_activate"": 1, ""oveValCoi_u"": 0.0, ""oveValRad_activate"": 1, ""oveValRad_u"": 0.0}"
low_supply_override,1,900.0,19.71371002179518,20.0,0.0,0.0,0.0,784.0875331851036,1.2530842364294854e-20,0.0,"{""dh_oveTSupSetHea_activate"": 1, ""dh_oveTSupSetHea_u"": 291.15, ""ovePum_activate"": 1, ""ovePum_u"": 0.0, ""oveTSupSetAir_activate"": 1, ""oveTSupSetAir_u"": 288.15, ""oveTZonSet_activate"": 1, ""oveTZonSet_u"": 294.15, ""oveValCoi_activate"": 1, ""oveValCoi_u"": 0.0, ""oveValRad_activate"": 1, ""oveValRad_u"": 0.0}"
low_supply_override,2,1800.0,19.498229376620827,20.0,0.0,0.0,0.0,784.0876152698661,1.2530842364294854e-20,0.0,"{""dh_oveTSupSetHea_activate"": 1, ""dh_oveTSupSetHea_u"": 291.15, ""ovePum_activate"": 1, ""ovePum_u"": 0.0, ""oveTSupSetAir_activate"": 1, ""oveTSupSetAir_u"": 288.15, ""oveTZonSet_activate"": 1, ""oveTZonSet_u"": 294.15, ""oveValCoi_activate"": 1, ""oveValCoi_u"": 0.0, ""oveValRad_activate"": 1, ""oveValRad_u"": 0.0}"
low_supply_override,3,2700.0,19.338637721173654,20.0,0.0,0.0,0.0,784.0876152698914,1.2530842364294854e-20,0.0,"{""dh_oveTSupSetHea_activate"": 1, ""dh_oveTSupSetHea_u"": 291.15, ""ovePum_activate"": 1, ""ovePum_u"": 0.0, ""oveTSupSetAir_activate"": 1, ""oveTSupSetAir_u"": 288.15, ""oveTZonSet_activate"": 1, ""oveTZonSet_u"": 294.15, ""oveValCoi_activate"": 1, ""oveValCoi_u"": 0.0, ""oveValRad_activate"": 1, ""oveValRad_u"": 0.0}"
low_supply_override,4,3600.0,19.217749051198552,20.0,0.0,0.0,0.0,784.0876152699173,1.2530842364294854e-20,0.0,"{""dh_oveTSupSetHea_activate"": 1, ""dh_oveTSupSetHea_u"": 291.15, ""ovePum_activate"": 1, ""ovePum_u"": 0.0, ""oveTSupSetAir_activate"": 1, ""oveTSupSetAir_u"": 288.15, ""oveTZonSet_activate"": 1, ""oveTZonSet_u"": 294.15, ""oveValCoi_activate"": 1, ""oveValCoi_u"": 0.0, ""oveValRad_activate"": 1, ""oveValRad_u"": 0.0}"
low_supply_override,5,4500.0,19.122692023579134,20.0,0.0,0.0,0.0,784.0876152698935,1.2530842364294854e-20,0.0,"{""dh_oveTSupSetHea_activate"": 1, ""dh_oveTSupSetHea_u"": 291.15, ""ovePum_activate"": 1, ""ovePum_u"": 0.0, ""oveTSupSetAir_activate"": 1, ""oveTSupSetAir_u"": 288.15, ""oveTZonSet_activate"": 1, ""oveTZonSet_u"": 294.15, ""oveValCoi_activate"": 1, ""oveValCoi_u"": 0.0, ""oveValRad_activate"": 1, ""oveValRad_u"": 0.0}"
low_supply_override,6,5400.0,19.044802412401907,20.0,0.0,0.0,0.0,784.087615269877,1.2530842364294854e-20,0.0,"{""dh_oveTSupSetHea_activate"": 1, ""dh_oveTSupSetHea_u"": 291.15, ""ovePum_activate"": 1, ""ovePum_u"": 0.0, ""oveTSupSetAir_activate"": 1, ""oveTSupSetAir_u"": 288.15, ""oveTZonSet_activate"": 1, ""oveTZonSet_u"": 294.15, ""oveValCoi_activate"": 1, ""oveValCoi_u"": 0.0, ""oveValRad_activate"": 1, ""oveValRad_u"": 0.0}"
low_supply_override,7,6300.0,18.978480853333735,20.0,0.0,0.0,0.0,784.0876152698722,1.2530842364294854e-20,0.0,"{""dh_oveTSupSetHea_activate"": 1, ""dh_oveTSupSetHea_u"": 291.15, ""ovePum_activate"": 1, ""ovePum_u"": 0.0, ""oveTSupSetAir_activate"": 1, ""oveTSupSetAir_u"": 288.15, ""oveTZonSet_activate"": 1, ""oveTZonSet_u"": 294.15, ""oveValCoi_activate"": 1, ""oveValCoi_u"": 0.0, ""oveValRad_activate"": 1, ""oveValRad_u"": 0.0}"
low_supply_override,8,7200.0,18.920168042014552,20.0,0.0,0.0,0.0,784.0876152699173,1.2530842364294854e-20,0.0,"{""dh_oveTSupSetHea_activate"": 1, ""dh_oveTSupSetHea_u"": 291.15, ""ovePum_activate"": 1, ""ovePum_u"": 0.0, ""oveTSupSetAir_activate"": 1, ""oveTSupSetAir_u"": 288.15, ""oveTZonSet_activate"": 1, ""oveTZonSet_u"": 294.15, ""oveValCoi_activate"": 1, ""oveValCoi_u"": 0.0, ""oveValRad_activate"": 1, ""oveValRad_u"": 0.0}"
high_supply_override,0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""dh_oveTSupSetHea_activate"": 1, ""dh_oveTSupSetHea_u"": 308.15, ""ovePum_activate"": 1, ""ovePum_u"": 50000.0, ""oveTSupSetAir_activate"": 1, ""oveTSupSetAir_u"": 308.15, ""oveTZonSet_activate"": 1, ""oveTZonSet_u"": 294.15, ""oveValCoi_activate"": 1, ""oveValCoi_u"": 1.0, ""oveValRad_activate"": 1, ""oveValRad_u"": 1.0}"
high_supply_override,1,900.0,20.158639224583908,34.184887433696815,0.0,0.0,236664.33371201594,784.087533886101,692.9529988975875,0.0,"{""dh_oveTSupSetHea_activate"": 1, ""dh_oveTSupSetHea_u"": 308.15, ""ovePum_activate"": 1, ""ovePum_u"": 50000.0, ""oveTSupSetAir_activate"": 1, ""oveTSupSetAir_u"": 308.15, ""oveTZonSet_activate"": 1, ""oveTZonSet_u"": 294.15, ""oveValCoi_activate"": 1, ""oveValCoi_u"": 1.0, ""oveValRad_activate"": 1, ""oveValRad_u"": 1.0}"
high_supply_override,2,1800.0,20.53599242619231,35.15417298616603,0.0,0.0,183364.44057309482,784.0876152698279,692.9529988975875,0.0,"{""dh_oveTSupSetHea_activate"": 1, ""dh_oveTSupSetHea_u"": 308.15, ""ovePum_activate"": 1, ""ovePum_u"": 50000.0, ""oveTSupSetAir_activate"": 1, ""oveTSupSetAir_u"": 308.15, ""oveTZonSet_activate"": 1, ""oveTZonSet_u"": 294.15, ""oveValCoi_activate"": 1, ""oveValCoi_u"": 1.0, ""oveValRad_activate"": 1, ""oveValRad_u"": 1.0}"
